UniqueCount	AmbigCount
0	94
0	0
0	449
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	15
0	3
0	0
0	3
0	0
0	23
0	0
0	0
0	0
0	8
59	29
0	0
0	796
0	398
0	447
0	376
0	324
0	308
1	15
0	0
0	180
0	0
0	0
0	0
0	1
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	50
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
29	1
0	1
0	0
0	0
0	0
0	0
51	0
0	2
0	0
0	0
0	0
0	0
0	0
63	15870
848	25934
23	225681
42	1
6	88284
0	1540
13090	118737
4	62681
0	0
0	0
0	0
0	0
0	0
0	0
34	75
0	0
0	0
0	0
0	0
0	37
0	37
0	37
0	37
0	37
0	44
0	44
0	37
0	37
0	48
0	37
0	37
0	37
0	21
0	60
0	60
0	0
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	89
0	89
2	117
0	53
0	142
0	52
0	117
0	117
0	28
0	117
0	137
0	117
0	117
0	28
0	71
0	137
0	30
0	71
0	137
0	117
0	89
0	0
0	71
0	89
0	117
0	137
0	91
0	70
0	89
0	43
0	89
0	89
0	89
0	0
0	89
0	89
0	89
0	0
0	19
0	0
0	0
0	89
0	19
0	0
0	0
0	37
0	2
0	36
0	3
0	0
0	0
0	7
0	0
30	1
0	1
0	0
0	362
0	365
0	0
0	326
0	176
0	223
0	176
0	229
0	239
0	319
0	228
0	12
0	140
0	12
0	32
12	1134
0	382
10	1040
0	0
0	225
0	29
167	52
0	19
0	33
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	147
12	116
0	130
0	75
0	1841
0	1168
1	14
0	0
347	1841
0	1654
0	1505
0	1367
0	1516
0	65
0	32
0	14
0	14
0	60
0	385
0	15
0	68
0	68
0	50
0	68
0	68
0	68
0	68
0	68
0	0
0	0
0	54
0	56
0	0
0	575
0	520
0	600
0	597
0	416
0	576
0	527
0	29
0	329
0	227
0	194
0	194
0	130
0	118
0	46
0	112
0	41
0	41
0	31
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	6183
0	6102
0	5562
2	3472
0	2892
0	1753
0	823
2003	0
0	0
0	0
0	0
0	0
0	0
0	0
16	1385
0	1448
0	1417
0	985
0	1057
0	749
0	824
15	293
0	724
0	371
0	93
0	153
0	298
0	302
0	267
0	12
0	124
0	110
0	193
0	2
0	0
0	0
0	13
0	0
0	13
0	13
0	0
0	13
0	0
0	0
0	1011
33	1020
0	780
0	629
0	14
0	0
0	106
0	129
0	37
0	121
0	86
0	13
0	51
0	1
30	720
39	307
0	328
0	481
0	84
0	324
0	275
0	1076
0	1464
0	1464
0	1264
0	367
0	1350
0	1436
0	1264
38	1251
0	889
0	1234
0	1401
0	1281
0	1117
0	1289
0	1318
0	681
0	508
0	436
0	998
0	484
0	0
0	666
0	364
0	146
0	257
0	282
0	36
0	84
0	207
0	167
4	115
0	128
0	182
0	125
0	0
0	0
0	45
0	0
0	218
0	218
0	45
0	106
0	142
0	63
0	55
0	73
0	42
0	1
0	1
0	0
0	275
559	356
0	99
0	0
14	1153
23	1207
0	286
0	270
0	148
0	92
0	0
1	82
0	55
0	55
0	55
0	13
0	55
0	45
0	32
0	10
0	0
0	0
15	4352
0	4030
423	4004
0	4236
14	838
0	323
0	0
0	37
0	85
0	52
0	37
0	126
0	39
0	69
0	7
0	7
0	69
0	0
0	0
0	0
0	42
0	87
0	1
0	48
0	1
0	16
0	247
0	247
0	265
0	265
0	265
0	265
0	247
0	247
0	247
0	11
0	265
0	265
0	265
0	141
239	1234
0	550
9	884
0	46
0	689
0	0
15	229
72	15
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
