Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR36910393_1 - polya	(1, 0.005141301091459053)	(2, 0.007487879832584839)	(3, 0.008719392585446342)	(4, 0.01093540980262979)	(5, 0.01310555405194161)	(6, 0.014121816724790069)	(7, 0.016288432284265606)	(8, 0.020110003376956172)	(9, 0.02687803048294002)	(10, 0.03170527817897021)	(11, 0.03304265162692009)	(12, 0.034041270850587155)	(13, 0.036031451918248726)	(14, 0.03958837127321834)	(15, 0.04319116359605958)	(16, 0.04600352939557425)	(17, 0.04789490714781999)	(18, 0.050149739953202516)	(19, 0.05177999465756359)	(20, 0.0541900898157424)	(21, 0.05731650901068593)	(22, 0.059504296709179144)	(23, 0.06163915406012817)	(24, 0.06473734373638146)	(25, 0.06682985680929514)	(26, 0.06988570220751307)	(27, 0.07352731011855339)	(28, 0.0773912254892793)	(29, 0.07993541086123675)	(30, 0.08164682543183224)	(31, 0.08410632224771897)	(32, 0.08682341342165409)	(33, 0.08862304523815658)	(34, 0.09320681333548349)	(35, 0.09544400269168461)	(36, 0.0971730607114615)	(37, 0.10119929581465627)	(38, 0.10381052629350301)	(39, 0.10700751928517213)	(40, 0.10943525789253233)
SRR36910393_2 - polya	(1, 0.0027594354519704734)	(2, 0.00391684571827011)	(3, 0.0045978828566720295)	(4, 0.006785670555165243)	(5, 0.009365142825485468)	(6, 0.011365909962655876)	(7, 0.013758361671653294)	(8, 0.0172482359197336)	(9, 0.02346931610109414)	(10, 0.02738616181936425)	(11, 0.029722154490981197)	(12, 0.03180408149438603)	(13, 0.034729365368661634)	(14, 0.03794400180951215)	(15, 0.042608929773073484)	(16, 0.04700214861924131)	(17, 0.049743940622030386)	(18, 0.05247161786547434)	(19, 0.055252225456462495)	(20, 0.05823749705795485)	(21, 0.06163915406012817)	(22, 0.06491377822819543)	(23, 0.06712979544537888)	(24, 0.0700339071806368)	(25, 0.07287097380900542)	(26, 0.07642789316397504)	(27, 0.07975191898975022)	(28, 0.0827830635591142)	(29, 0.08550015473304932)	(30, 0.08746563497185693)	(31, 0.09030975897989811)	(32, 0.09293510421808997)	(33, 0.09508054763854783)	(34, 0.0983022414590709)	(35, 0.10086054159037346)	(36, 0.10426925597221932)	(37, 0.1094599587213863)	(38, 0.11199002933399861)	(39, 0.1148306246522035)	(40, 0.1188356876163806)
SRR36910393_2 - polyg	(1, 0.2093218810880927)	(2, 0.21455139942545873)	(3, 0.21517244883664388)	(4, 0.21575821134946627)	(5, 0.21645336324721332)	(6, 0.2171908594229957)	(7, 0.2180448023633753)	(8, 0.21936806105198006)	(9, 0.2209030411307616)	(10, 0.22234274658396358)	(11, 0.22370129217093115)	(12, 0.2247493130523061)	(13, 0.2259173093881146)	(14, 0.22670773591144117)	(15, 0.22763225264854636)	(16, 0.22836974882432876)	(17, 0.2292872081817614)	(18, 0.23021525360870287)	(19, 0.2312068154526974)	(20, 0.23220190598652818)	(21, 0.23299938988952731)	(22, 0.2338392180705618)	(23, 0.2347460913584856)	(24, 0.23549064491394056)	(25, 0.23619638288119643)	(26, 0.2371950021048635)	(27, 0.23799954338753518)	(28, 0.23889935929578643)	(29, 0.23997208100601536)	(30, 0.24079073704803217)	(31, 0.2415564627425048)	(32, 0.2428550206022556)	(33, 0.24354311512033008)	(34, 0.24436882854201947)	(35, 0.2452015993433814)	(36, 0.24590733731063727)	(37, 0.24666600562543733)	(38, 0.2473258706248216)	(39, 0.2480421946615863)	(40, 0.2487761621475324)
SRR36910395_1 - polya	(1, 0.008060281042200435)	(2, 0.010032280087053156)	(3, 0.01182139212371389)	(4, 0.013515084851752719)	(5, 0.015972132048766793)	(6, 0.017432577577952076)	(7, 0.019759748493786335)	(8, 0.023883983055333152)	(9, 0.031239221428271728)	(10, 0.03775689031441802)	(11, 0.03918022833469478)	(12, 0.040579711527816066)	(13, 0.04306856516103744)	(14, 0.046050418555472004)	(15, 0.049952008063567706)	(16, 0.05266085621388959)	(17, 0.05517886574696766)	(18, 0.05705014441049726)	(19, 0.059538998043718636)	(20, 0.06155075513383049)	(21, 0.06539668337856341)	(22, 0.06791734344799209)	(23, 0.07031077777259157)	(24, 0.0734728676388675)	(25, 0.07622412437079912)	(26, 0.0796486173357853)	(27, 0.08247143854918335)	(28, 0.08610532388586759)	(29, 0.08844574748345489)	(30, 0.09080207429914584)	(31, 0.09316900326023923)	(32, 0.09545111505811314)	(33, 0.09804599014535886)	(34, 0.10258635891395121)	(35, 0.10450269669544116)	(36, 0.1066708354302389)	(37, 0.1112854192166483)	(38, 0.11450847141898822)	(39, 0.11728358297807533)	(40, 0.12042181801719577)
SRR36910395_2 - polya	(1, 0.0033979876014800913)	(2, 0.004749761140290424)	(3, 0.0058046746078326055)	(4, 0.00769980809851768)	(5, 0.010297333722114005)	(6, 0.01222692418535699)	(7, 0.014477229547023603)	(8, 0.018455684609286954)	(9, 0.024263009753470167)	(10, 0.028917351585138685)	(11, 0.03107753871088461)	(12, 0.03296737112886847)	(13, 0.03554369246165993)	(14, 0.038419524402070145)	(15, 0.042697490071952254)	(16, 0.04615909054584695)	(17, 0.04843325073466904)	(18, 0.0510413785036678)	(19, 0.05360974822740743)	(20, 0.056411365150000614)	(21, 0.059292498163112044)	(22, 0.06197749148627845)	(23, 0.06416683451188107)	(24, 0.0664224409462489)	(25, 0.0686038323627997)	(26, 0.07142665357619774)	(27, 0.07428923283485492)	(28, 0.07656604356002761)	(29, 0.07916091864727333)	(30, 0.08170278300750687)	(31, 0.08437452364892024)	(32, 0.08634652269377296)	(33, 0.08843779587440306)	(34, 0.09059003139109716)	(35, 0.0929145517705808)	(36, 0.09629928669030786)	(37, 0.10023268263461087)	(38, 0.10276129431309138)	(39, 0.10550724997232178)	(40, 0.1097269038424905)
SRR36910395_2 - polyg	(1, 0.2263743580964198)	(2, 0.23156940934361242)	(3, 0.2320915650046823)	(4, 0.23274889801963322)	(5, 0.23366863413329436)	(6, 0.23460162292870856)	(7, 0.23576785892297628)	(8, 0.23714083675259148)	(9, 0.23866489515419137)	(10, 0.2399159483116786)	(11, 0.24114579717836093)	(12, 0.24233323746343352)	(13, 0.24369031207494507)	(14, 0.2443529461625972)	(15, 0.24515340814048098)	(16, 0.24590350992770318)	(17, 0.2466244558150687)	(18, 0.24738250921134272)	(19, 0.24820417548003135)	(20, 0.24889066439483895)	(21, 0.24970702959082636)	(22, 0.2504359270872437)	(23, 0.25116747512001164)	(24, 0.25180095330780705)	(25, 0.25248744222261466)	(26, 0.25333031278210816)	(27, 0.2541122210055377)	(28, 0.25474834972968374)	(29, 0.2554162848900371)	(30, 0.2561186770229483)	(31, 0.2567495046743931)	(32, 0.2574492462709538)	(33, 0.25800585890458155)	(34, 0.2587639123008556)	(35, 0.2595458205242851)	(36, 0.26036218572027253)	(37, 0.2610672283895344)	(38, 0.26178022266784806)	(39, 0.262559480354927)	(40, 0.2632910283876949)
SRR36910397_1 - polya	(1, 0.007395995956855543)	(2, 0.010238520718731482)	(3, 0.011563221748947548)	(4, 0.013666448669358938)	(5, 0.015839079060601693)	(6, 0.01701893806473491)	(7, 0.01951142793024396)	(8, 0.024251986742247246)	(9, 0.03278257857008512)	(10, 0.03885689103893465)	(11, 0.04034755689070399)	(12, 0.042366292629233714)	(13, 0.04534460679056232)	(14, 0.04901997320241465)	(15, 0.05302123417295339)	(16, 0.05599049570765182)	(17, 0.05836530142696855)	(18, 0.06024221268162549)	(19, 0.061929018777048685)	(20, 0.06386024579148669)	(21, 0.06754164728775913)	(22, 0.07002810206884806)	(23, 0.07258999540518847)	(24, 0.07625329164820056)	(25, 0.07939153554666233)	(26, 0.08327209482879869)	(27, 0.08654612812671311)	(28, 0.09092458187350928)	(29, 0.09378219434643552)	(30, 0.0957586844940244)	(31, 0.09865250747347136)	(32, 0.10124457623191237)	(33, 0.10341418908094506)	(34, 0.10716197650583881)	(35, 0.10929839639056085)	(36, 0.11169734244755807)	(37, 0.11576197180450805)	(38, 0.11959726795349351)	(39, 0.12247298567968011)	(40, 0.12561726466256198)
SRR36910397_2 - polya	(1, 0.00404652410368963)	(2, 0.0048854008380861385)	(3, 0.0057484179101631215)	(4, 0.008409890139435496)	(5, 0.0110170466089268)	(6, 0.013225887506690268)	(7, 0.015534307297385695)	(8, 0.02000328731048364)	(9, 0.02599310859745151)	(10, 0.030172404558383752)	(11, 0.03246573663802888)	(12, 0.034753033633253896)	(13, 0.03725759366760318)	(14, 0.040269100793242446)	(15, 0.044550993189316705)	(16, 0.04891435922506257)	(17, 0.05185042779545035)	(18, 0.05423730368360732)	(19, 0.0570617231922229)	(20, 0.05994347600282961)	(21, 0.06271056220945406)	(22, 0.06507933284435068)	(23, 0.0675808753364899)	(24, 0.06985911970508474)	(25, 0.07248438142783639)	(26, 0.07534802898518275)	(27, 0.07842290449723326)	(28, 0.0807524470833991)	(29, 0.08277118282192883)	(30, 0.08477784839161832)	(31, 0.08736991715005933)	(32, 0.08988654735324884)	(33, 0.0920893531665922)	(34, 0.09429215897993555)	(35, 0.09647685954001854)	(36, 0.09904177041856901)	(37, 0.10334780315232375)	(38, 0.10570450361838013)	(39, 0.10845348457174422)	(40, 0.11299790314009366)
SRR36910397_2 - polyg	(1, 0.12557501907162116)	(2, 0.12867403492135213)	(3, 0.12911157854181074)	(4, 0.1296124905486806)	(5, 0.13007115696460964)	(6, 0.13066561277999134)	(7, 0.13138680536819553)	(8, 0.13227094523574293)	(9, 0.1335503831328081)	(10, 0.1345672948575981)	(11, 0.13561438200448872)	(12, 0.13633859213490296)	(13, 0.13728911793107168)	(14, 0.13791978425297408)	(15, 0.1384599243085747)	(16, 0.13903325732848598)	(17, 0.1394496781534742)	(18, 0.13994153753371386)	(19, 0.14045150216721392)	(20, 0.1408980984143027)	(21, 0.1413658174568619)	(22, 0.14195725573003354)	(23, 0.14242497477259275)	(24, 0.14294097449051288)	(25, 0.14350223734158393)	(26, 0.14408160544591533)	(27, 0.14476356998538875)	(28, 0.14529163987214916)	(29, 0.14585290272322018)	(30, 0.14639304277882081)	(31, 0.14698749859420251)	(32, 0.14760307720505464)	(33, 0.14817339268275587)	(34, 0.14878293620918787)	(35, 0.14934721660246897)	(36, 0.15002314605752226)	(37, 0.15057535628196314)	(38, 0.1510973910843034)	(39, 0.15168581181526497)	(40, 0.15229837288390705)
SRR36910429_1 - polya	(1, 0.0074263351400410665)	(2, 0.0144247981470849)	(3, 0.018623028679760713)	(4, 0.023842221430776453)	(5, 0.027214362201724934)	(6, 0.029379141013225783)	(7, 0.03367480777420789)	(8, 0.03935576352024045)	(9, 0.052929053759083335)	(10, 0.06405796557476381)	(11, 0.06786645119421442)	(12, 0.07190370013229722)	(13, 0.0775338195853004)	(14, 0.08544309950912052)	(15, 0.09036151085971246)	(16, 0.0946063413276652)	(17, 0.09838517244284868)	(18, 0.10328663836243082)	(19, 0.10700192411132758)	(20, 0.1108019370152733)	(21, 0.11704209198462896)	(22, 0.121507213055709)	(23, 0.12904792985506616)	(24, 0.13422052267080498)	(25, 0.13857973479807378)	(26, 0.14494274414225045)	(27, 0.15119560818486347)	(28, 0.15964290554324445)	(29, 0.16442151708800562)	(30, 0.1687044747757304)	(31, 0.17544875631762735)	(32, 0.1801807679271116)	(33, 0.18600999619447983)	(34, 0.19487245661260072)	(35, 0.19958752279107517)	(36, 0.203946734918344)	(37, 0.2092972547596856)	(38, 0.21299559507757257)	(39, 0.21722348011451553)	(40, 0.2220571643100585)
