Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR36910393_1	(1, 0.02804602681874849)	(2, 0.01699417025152148)	(3, 0.030752531923174776)	(4, 0.00020819270034048328)	(5, 0.0)	(6, 4.234427803535253e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002710033794262562)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00045167229904376037)	(20, 0.0)	(21, 0.0008680576997247268)	(22, 0.0)	(23, 0.0)	(24, 0.0007904265233265805)	(25, 0.0)	(26, 0.0020819270034048327)	(27, 0.010197913626847402)	(28, 0.010250843974391593)	(29, 0.002568886200811387)	(30, 0.004929579701282291)	(31, 0.0010056766033396227)	(32, 0.0017961031266662032)	(33, 0.004149739247464548)	(34, 0.002625345238191857)	(35, 0.0008610003200521681)	(36, 0.009679196220914333)	(37, 0.0005469469246233036)	(38, 0.001961951548971334)	(39, 0.008218318628694671)	(40, 0.006538662266625687)	(41, 0.010236729215046474)	(42, 0.002477140265068123)	(43, 0.004629641065198544)	(44, 0.00498603873866276)	(45, 0.0018596195437192323)	(46, 0.001167996335808474)	(47, 0.0007727830741451837)	(48, 0.00425207125271665)	(49, 0.003849800611380801)	(50, 0.002036054035533201)	(51, 8.115986623442569e-05)
SRR36910393_2	(1, 0.016193157658686064)	(2, 6.35164170530288e-05)	(3, 0.008634704029375637)	(4, 0.0057658791924805036)	(5, 0.009852102022892023)	(6, 0.004654341894052499)	(7, 0.0009351028066140352)	(8, 0.0025371279922848725)	(9, 0.004230899113698974)	(10, 0.0046225836855259845)	(11, 0.0016549555332150282)	(12, 0.0026394599975369747)	(13, 0.001979594998152731)	(14, 0.004382632776658987)	(15, 0.004350874568132473)	(16, 0.007403191276514134)	(17, 0.0053706659308172125)	(18, 0.002000767137170407)	(19, 0.12311245969795122)	(20, 0.00085041425054333)	(21, 0.00040227064133584905)	(22, 0.0)	(23, 3.8815588199073155e-05)	(24, 0.0)	(25, 3.528689836279378e-06)	(26, 0.0)	(27, 3.528689836279378e-06)	(28, 0.0)	(29, 7.057379672558756e-06)	(30, 3.528689836279378e-06)	(31, 0.0)	(32, 0.0)	(33, 8.821724590698443e-05)	(34, 0.0)	(35, 8.468855607070507e-05)	(36, 0.0)	(37, 4.940165770791128e-05)	(38, 0.0)	(39, 0.00044461491937120153)	(40, 3.528689836279378e-06)	(41, 0.00022936483935815952)	(42, 0.0)	(43, 0.00010233200525210196)	(44, 3.528689836279378e-06)	(45, 4.940165770791128e-05)	(46, 3.528689836279378e-06)	(47, 1.7643449181396888e-05)	(48, 0.0)	(49, 0.000187020561322807)	(50, 0.0)	(51, 3.17582085265144e-05)
SRR36910395_1	(1, 0.02771400808196243)	(2, 0.017252341106110698)	(3, 0.03092115706619871)	(4, 0.00024649988060659005)	(5, 0.0)	(6, 3.9758045259127434e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002711498686672491)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.00041348367069492535)	(20, 0.0)	(21, 0.0008057630505849827)	(22, 7.951609051825487e-06)	(23, 0.0)	(24, 0.0009303382590635818)	(25, 0.0)	(26, 0.0022874128705751315)	(27, 0.010029629550702548)	(28, 0.010162156368232972)	(29, 0.0027512567319316183)	(30, 0.004945900830235453)	(31, 0.0011291284853592193)	(32, 0.0019057356360875082)	(33, 0.004187847433961423)	(34, 0.002769810486385878)	(35, 0.0009833489860757519)	(36, 0.009499522280580848)	(37, 0.0006573330149509069)	(38, 0.0021575365893953154)	(39, 0.008076184260304086)	(40, 0.006599835513015154)	(41, 0.009913005951275774)	(42, 0.002669090105062755)	(43, 0.004959153511988495)	(44, 0.0049644545846897125)	(45, 0.0020912731806301027)	(46, 0.0011953918941244315)	(47, 0.0007235964237161192)	(48, 0.004341578542296716)	(49, 0.0037902669813701484)	(50, 0.002101875326032537)	(51, 0.0001219246721279908)
SRR36910395_2	(1, 0.016266341583684337)	(2, 3.4456972557910444e-05)	(3, 0.008113291769212605)	(4, 0.006106835751801974)	(5, 0.00928482883618156)	(6, 0.004911443857677542)	(7, 0.0010681661492952237)	(8, 0.0028016169225931796)	(9, 0.004092428125339517)	(10, 0.004929997612131801)	(11, 0.0017334507732979561)	(12, 0.002844025504202916)	(13, 0.0020621172807734098)	(14, 0.0046357880772142585)	(15, 0.004134836706949253)	(16, 0.007572582353688472)	(17, 0.00496710512104032)	(18, 0.0018288700819198618)	(19, 0.1201514633094337)	(20, 0.0007368491054691618)	(21, 0.0004240858160973593)	(22, 0.0)	(23, 4.5059117960344424e-05)	(24, 0.0)	(25, 2.6505363506084956e-06)	(26, 0.0)	(27, 5.301072701216991e-06)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 2.6505363506084956e-06)	(33, 0.00011132252672555681)	(34, 0.0)	(35, 0.00012457520847859927)	(36, 0.0)	(37, 7.421501781703788e-05)	(38, 0.0)	(39, 0.00043733849785040175)	(40, 1.3252681753042477e-05)	(41, 0.00027035470776206656)	(42, 2.6505363506084956e-06)	(43, 0.00014312896293285874)	(44, 0.0)	(45, 7.686555416764637e-05)	(46, 2.6505363506084956e-06)	(47, 2.385482715547646e-05)	(48, 0.0)	(49, 0.00019613968994502867)	(50, 0.0)	(51, 4.5059117960344424e-05)
SRR36910397_1	(1, 0.028280405592676524)	(2, 0.017791428870510113)	(3, 0.030763842831555394)	(4, 0.0002112279547041567)	(5, 0.0)	(6, 3.6210506520712574e-05)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002601121385071187)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0005039295490799167)	(20, 0.0)	(21, 0.0008509469032367456)	(22, 1.5087711050296908e-05)	(23, 0.0)	(24, 0.0008539644454468049)	(25, 0.0)	(26, 0.0022329812354439423)	(27, 0.009915643702255127)	(28, 0.00999711734192673)	(29, 0.0027278581578936804)	(30, 0.004997049899858335)	(31, 0.0010651924001509616)	(32, 0.0019101042189675886)	(33, 0.004185331045352362)	(34, 0.002658454687062315)	(35, 0.0009414731695385268)	(36, 0.009453959744116041)	(37, 0.0006216136952722326)	(38, 0.0020519287028403794)	(39, 0.008319363873133714)	(40, 0.006551084138038917)	(41, 0.010377327660394212)	(42, 0.0025649108785504742)	(43, 0.004846172789355366)	(44, 0.0051328392993110076)	(45, 0.001979507689798954)	(46, 0.001140630955402446)	(47, 0.0007966311434556766)	(48, 0.004251716973973668)	(49, 0.003895646993186661)	(50, 0.0021605602224025167)	(51, 0.00011466660398225648)
SRR36910397_2	(1, 0.01604125438867567)	(2, 6.940347083136577e-05)	(3, 0.008747854866962146)	(4, 0.0060562072155891785)	(5, 0.010108766403698927)	(6, 0.004930663971237029)	(7, 0.0010410520624704865)	(8, 0.002809331797565284)	(9, 0.004354313409115687)	(10, 0.0050061025264885135)	(11, 0.0017018938064734912)	(12, 0.0028183844241954623)	(13, 0.0021424549691421604)	(14, 0.004749611438633466)	(15, 0.004321120444805033)	(16, 0.007815434324053797)	(17, 0.0054406286047370645)	(18, 0.00219375318671317)	(19, 0.12535775603249688)	(20, 0.0008720696987071612)	(21, 0.00046771904255920406)	(22, 0.0)	(23, 5.129821757100948e-05)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 6.035084420118762e-06)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.00012371923061243464)	(34, 0.0)	(35, 0.00010259643514201897)	(36, 0.0)	(37, 7.845609746154392e-05)	(38, 0.0)	(39, 0.0005371225133905699)	(40, 1.5087711050296908e-05)	(41, 0.0003077893054260569)	(42, 0.0)	(43, 0.0001629472793432066)	(44, 0.0)	(45, 8.449118188166267e-05)	(46, 0.0)	(47, 1.5087711050296908e-05)	(48, 0.0)	(49, 0.0002112279547041567)	(50, 0.0)	(51, 5.733330199112824e-05)
SRR36910429_1	(1, 9.319987055385252e-05)	(2, 0.028023506532442472)	(3, 0.003054413939514894)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0002753632539091097)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.004138921524141541)	(14, 0.008375279276589383)	(15, 0.0037491766109163395)	(16, 0.0)	(17, 0.0)	(18, 0.0011056893733888866)	(19, 0.0)	(20, 0.0009023442012713902)	(21, 0.0)	(22, 4.236357752447841e-06)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.004621866307920595)	(27, 0.0)	(28, 4.236357752447841e-06)	(29, 0.0)	(30, 0.0002457087496419748)	(31, 0.0)	(32, 0.0012073619594476347)	(33, 0.0)	(34, 0.00010590894381119603)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0004109267019874406)	(48, 0.0)	(49, 0.0009701259253105558)	(50, 0.0)	(51, 9.743622830630036e-05)
SRR36910429_2	(1, 0.0003558540512056187)	(2, 0.0012285437482098742)	(3, 0.0)	(4, 0.0)	(5, 0.0003982176287300971)	(6, 0.0)	(7, 5.083629302937411e-05)	(8, 0.0)	(9, 0.00025841782289931834)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0011607620241707085)	(16, 0.0)	(17, 2.1181788762239208e-05)	(18, 0.0)	(19, 2.1181788762239208e-05)	(20, 0.0)	(21, 0.00045329027951191905)	(22, 0.0)	(23, 0.0024062512033903743)	(24, 0.0)	(25, 0.00019063609886015286)	(26, 0.0)	(27, 0.0008642169814993598)	(28, 0.0)	(29, 0.0004617629950168147)	(30, 0.0)	(31, 0.0002753632539091097)	(32, 0.0)	(33, 0.0003770358399678579)	(34, 0.0)	(35, 0.002889195987169428)	(36, 0.0)	(37, 0.00040669034423499286)	(38, 0.0)	(39, 0.00514293831147168)	(40, 0.0)	(41, 0.0)	(42, 0.00016945431009791366)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 9.743622830630036e-05)	(47, 0.0)	(48, 8.049079729650899e-05)	(49, 0.0)	(50, 0.0)	(51, 4.236357752447841e-06)
SRR36910431_1	(1, 5.43877702727403e-05)	(2, 0.02844091901190941)	(3, 0.0030923332240786624)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 3.8848407337671636e-06)	(8, 0.00036905986970788056)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0040751979297217545)	(14, 0.008057159681833098)	(15, 0.003558514112130722)	(16, 0.0)	(17, 0.0)	(18, 0.001324730690214603)	(19, 0.0)	(20, 0.0009673253427080239)	(21, 0.0)	(22, 3.8848407337671636e-06)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.00499979002435834)	(27, 0.0)	(28, 2.3309044402602983e-05)	(29, 0.0)	(30, 0.00023697528475979701)	(31, 0.0)	(32, 0.0012548035570067939)	(33, 0.0)	(34, 0.00011654522201301492)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0004195627992468537)	(48, 0.0)	(49, 0.0011304886535262446)	(50, 0.0)	(51, 9.323617761041193e-05)
SRR36910431_2	(1, 0.00032632662163644175)	(2, 0.001184876423798985)	(3, 0.0)	(4, 0.0)	(5, 0.00038071439190918207)	(6, 0.0)	(7, 6.215745174027462e-05)	(8, 0.0)	(9, 0.00027582369209746866)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0012276096718704236)	(16, 0.0)	(17, 5.43877702727403e-05)	(18, 0.0)	(19, 5.43877702727403e-05)	(20, 0.0)	(21, 0.00045841120658452535)	(22, 0.0)	(23, 0.0026650007433642745)	(24, 0.0)	(25, 0.00020589655888965969)	(26, 0.0)	(27, 0.0008779740058313789)	(28, 0.0)	(29, 0.0005127989768572656)	(30, 0.0)	(31, 0.00028359337356500294)	(32, 0.0)	(33, 0.00038071439190918207)	(34, 0.0)	(35, 0.003107872587013731)	(36, 0.0)	(37, 0.0004545263658507581)	(38, 0.0)	(39, 0.005341656008929851)	(40, 0.0)	(41, 0.0)	(42, 0.00014762394788315222)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 8.546649614287761e-05)	(47, 0.0)	(48, 6.992713320780894e-05)	(49, 0.0)	(50, 0.0)	(51, 0.0)
