Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR36910393_1	(1, 36.077454883053925)	(2, 36.06498216423722)	(3, 36.25189273629783)	(4, 36.27036161660573)	(5, 36.31107214653379)	(6, 36.3825225403885)	(7, 36.280362382331425)	(8, 36.356021444553875)	(9, 36.371209278478204)	(10, 36.38231844096837)	(11, 36.409497256972955)	(12, 36.34429927806535)	(13, 36.36966343003473)	(14, 36.348086903161814)	(15, 36.36321390247336)	(16, 36.35050744324191)	(17, 36.348671607067686)	(18, 36.33519984558453)	(19, 36.324478838976354)	(20, 36.33566217452688)	(21, 36.32410889113392)	(22, 36.30037181804805)	(23, 36.29458180261709)	(24, 36.28050585886017)	(25, 36.26492993962765)	(26, 36.236619684513954)	(27, 36.225767763512856)	(28, 36.223958710094486)	(29, 36.21826689810167)	(30, 36.19885638691096)	(31, 36.19634974679886)	(32, 36.191829989135165)	(33, 36.18677235327972)	(34, 36.19172430487457)	(35, 36.19092258654376)	(36, 36.186479013293635)	(37, 36.18499851618592)	(38, 36.18599180708794)	(39, 36.16502486138424)	(40, 36.173487153628216)	(41, 36.17380734694396)	(42, 36.179744967470775)	(43, 36.168519217068415)	(44, 36.17472579433455)	(45, 36.17433601525523)	(46, 36.16209795431264)	(47, 36.14805729745409)	(48, 36.15330989342298)	(49, 36.166881869697484)	(50, 36.157558718281045)	(51, 36.137303756325615)
SRR36910393_2	(1, 35.71060258377727)	(2, 35.857208601675495)	(3, 35.95552428744284)	(4, 35.90559152662767)	(5, 35.90184582236646)	(6, 35.994630639684424)	(7, 35.95466215794204)	(8, 36.02861001731528)	(9, 36.06972391177852)	(10, 35.97731849919175)	(11, 36.08222478954011)	(12, 36.002645670491646)	(13, 36.03540768541589)	(14, 35.99975899048418)	(15, 35.9783714955258)	(16, 35.968876814496426)	(17, 35.980555084083385)	(18, 35.964028006505494)	(19, 35.89817785514234)	(20, 35.93282994220359)	(21, 35.939740351944465)	(22, 35.928890407009675)	(23, 35.9217578309567)	(24, 35.91431303642702)	(25, 35.891529944638386)	(26, 35.88557969140196)	(27, 35.86942630207773)	(28, 35.863122474119706)	(29, 35.847873452713614)	(30, 35.831075160034906)	(31, 35.82810467364383)	(32, 35.81417876977875)	(33, 35.80197744249735)	(34, 35.81320216957966)	(35, 35.81422090233539)	(36, 35.81554648995929)	(37, 35.809168806523)	(38, 35.7945298250158)	(39, 35.78198977879702)	(40, 35.76693416488086)	(41, 35.77971458545128)	(42, 35.75616167468797)	(43, 35.77488543226274)	(44, 35.76327089081422)	(45, 35.7686768789303)	(46, 35.776747027872766)	(47, 35.77332257553425)	(48, 35.76932227630135)	(49, 35.768976923427076)	(50, 35.75471103029627)	(51, 35.72266999727938)
SRR36910395_1	(1, 36.07487847357096)	(2, 36.07216010999514)	(3, 36.256236334331554)	(4, 36.274436162666916)	(5, 36.31679414553772)	(6, 36.386128704267016)	(7, 36.28589223136542)	(8, 36.36175015763402)	(9, 36.37655610669925)	(10, 36.391473351785834)	(11, 36.41244505802594)	(12, 36.34913121912241)	(13, 36.37524907421404)	(14, 36.3541048975736)	(15, 36.369413759405994)	(16, 36.35750198399272)	(17, 36.35564687360093)	(18, 36.34462509528347)	(19, 36.333670799621494)	(20, 36.34445063698087)	(21, 36.333860312970565)	(22, 36.310178221269055)	(23, 36.30418851271858)	(24, 36.292555229159674)	(25, 36.27699067008554)	(26, 36.24926815378189)	(27, 36.23608234506098)	(28, 36.23424780283126)	(29, 36.228472708209104)	(30, 36.20981547681572)	(31, 36.208623318575945)	(32, 36.20211410490075)	(33, 36.200018511345874)	(34, 36.20252589222819)	(35, 36.204842142934254)	(36, 36.198302501101765)	(37, 36.199297830512144)	(38, 36.199961524814334)	(39, 36.18109291314698)	(40, 36.18575544513598)	(41, 36.18594681386049)	(42, 36.189168620310745)	(43, 36.1768518429431)	(44, 36.18410975362125)	(45, 36.18377679324489)	(46, 36.17562268321587)	(47, 36.161099546379255)	(48, 36.16499135540822)	(49, 36.179039887205896)	(50, 36.16982262054129)	(51, 36.1496033485604)
SRR36910395_2	(1, 35.73728949208382)	(2, 35.65615715750969)	(3, 35.79478975057737)	(4, 35.77548401245508)	(5, 35.78586974156449)	(6, 35.89616417825037)	(7, 35.87038654600471)	(8, 35.95543292760778)	(9, 36.016538419140076)	(10, 35.900380730993014)	(11, 36.02580140755673)	(12, 35.91942104440515)	(13, 35.94558250081975)	(14, 35.923468360401806)	(15, 35.90974698430588)	(16, 35.914431462735855)	(17, 35.9132690700193)	(18, 35.894526226301785)	(19, 35.831841333168896)	(20, 35.87236344854181)	(21, 35.87322169221214)	(22, 35.86244503549638)	(23, 35.84581384758403)	(24, 35.84122007050798)	(25, 35.82216130936283)	(26, 35.81034365449538)	(27, 35.79544668601187)	(28, 35.78711265757538)	(29, 35.77594271427592)	(30, 35.755451894845905)	(31, 35.751825802086096)	(32, 35.73498135201898)	(33, 35.725289268272526)	(34, 35.73003669694083)	(35, 35.73332503185348)	(36, 35.7333455735102)	(37, 35.725457630341516)	(38, 35.7099972108406)	(39, 35.69801956959902)	(40, 35.6853629404605)	(41, 35.70129465182992)	(42, 35.673528454687215)	(43, 35.693579735674206)	(44, 35.68389075305528)	(45, 35.69116761506833)	(46, 35.6966793523987)	(47, 35.69219496295783)	(48, 35.68773493194602)	(49, 35.690297682532695)	(50, 35.67295145942905)	(51, 35.64227672272737)
SRR36910397_1	(1, 36.079711545898036)	(2, 36.07447671367203)	(3, 36.26951612775223)	(4, 36.28444925011511)	(5, 36.32479873823283)	(6, 36.39641895592255)	(7, 36.297990953589505)	(8, 36.37222080213333)	(9, 36.38428276325875)	(10, 36.40875780672117)	(11, 36.42736855865255)	(12, 36.360794999256626)	(13, 36.39009364429267)	(14, 36.36803378126434)	(15, 36.38223041210001)	(16, 36.374564949623796)	(17, 36.374615221877015)	(18, 36.365031387116176)	(19, 36.3549367126346)	(20, 36.36671988303524)	(21, 36.35532709207031)	(22, 36.33035708115918)	(23, 36.32757741180154)	(24, 36.31571337126967)	(25, 36.300433171201796)	(26, 36.27481025468268)	(27, 36.26476262368415)	(28, 36.261857484921414)	(29, 36.25647916856332)	(30, 36.23736545269636)	(31, 36.23520492264938)	(32, 36.230376191253995)	(33, 36.230292303580555)	(34, 36.233009600340715)	(35, 36.238324548312406)	(36, 36.23000805110437)	(37, 36.23010035772057)	(38, 36.22966444357291)	(39, 36.21368013020574)	(40, 36.21853553667426)	(41, 36.21700552207207)	(42, 36.22163446199772)	(43, 36.209968402410254)	(44, 36.21648046972752)	(45, 36.21588079356411)	(46, 36.208196441273664)	(47, 36.19333848588724)	(48, 36.198226270583675)	(49, 36.21182090174843)	(50, 36.201357000802034)	(51, 36.181049846990994)
SRR36910397_2	(1, 35.5926568170669)	(2, 35.789387804959226)	(3, 35.89486146659854)	(4, 35.84007255619893)	(5, 35.84403467964701)	(6, 35.94029331053439)	(7, 35.901209530496686)	(8, 35.97881480175668)	(9, 36.03555926056094)	(10, 35.9326263694625)	(11, 36.038125227579265)	(12, 35.92512008233786)	(13, 35.9546956170471)	(14, 35.928407996329945)	(15, 35.93591612415533)	(16, 35.921509230978465)	(17, 35.9309497023089)	(18, 35.915180268122505)	(19, 35.84963943237255)	(20, 35.8824442200533)	(21, 35.889615952273104)	(22, 35.879916998276954)	(23, 35.872181257242666)	(24, 35.86999688861223)	(25, 35.84388506990423)	(26, 35.84455031725986)	(27, 35.82491631676505)	(28, 35.822401738490555)	(29, 35.80507790796092)	(30, 35.78660463525262)	(31, 35.787890047883266)	(32, 35.77110786618033)	(33, 35.75830488721438)	(34, 35.771842094550884)	(35, 35.7719163864401)	(36, 35.776042754710666)	(37, 35.766210515875095)	(38, 35.75458881415811)	(39, 35.74082314870089)	(40, 35.72736475956691)	(41, 35.740448188905866)	(42, 35.715484786412176)	(43, 35.73218072675875)	(44, 35.72468098770071)	(45, 35.72949740752387)	(46, 35.73690963785782)	(47, 35.73323279285028)	(48, 35.73039397966533)	(49, 35.729826500677305)	(50, 35.715584123901735)	(51, 35.686296854999824)
SRR36910429_1	(1, 36.3183416540342)	(2, 36.364595436519174)	(3, 36.486914589901716)	(4, 36.49425158025676)	(5, 36.494645815709205)	(6, 36.5366942082169)	(7, 36.493092258594224)	(8, 36.536747459233844)	(9, 36.556126465954534)	(10, 36.55261986318852)	(11, 36.5812992426282)	(12, 36.53713317960721)	(13, 36.55950983307353)	(14, 36.53597068067636)	(15, 36.54042122867677)	(16, 36.54141817074665)	(17, 36.53343229747467)	(18, 36.52763734134152)	(19, 36.52977183019509)	(20, 36.52104455195285)	(21, 36.52293943241194)	(22, 36.51240729631285)	(23, 36.50429962775548)	(24, 36.49610676604371)	(25, 36.487252439432474)	(26, 36.455018120384835)	(27, 36.45712168382681)	(28, 36.450402439159234)	(29, 36.441480627368996)	(30, 36.43687053813563)	(31, 36.44088558855909)	(32, 36.43163418813572)	(33, 36.42794266835381)	(34, 36.428376090115464)	(35, 36.424070467913765)	(36, 36.41823242802227)	(37, 36.414157390773035)	(38, 36.41270576042558)	(39, 36.4115910052466)	(40, 36.404436220638495)	(41, 36.39825215504578)	(42, 36.39388777456205)	(43, 36.3904266702783)	(44, 36.38481273371191)	(45, 36.373774225770674)	(46, 36.3779188240142)	(47, 36.36756563166657)	(48, 36.367211599249195)	(49, 36.364640511365664)	(50, 36.35328897895009)	(51, 36.32439901016654)
SRR36910429_2	(1, 36.00576242090561)	(2, 36.09627017083494)	(3, 36.165838621119775)	(4, 36.1325277164765)	(5, 36.11911464528786)	(6, 36.15272582296863)	(7, 36.09445599299103)	(8, 36.158253422564016)	(9, 36.17402245938953)	(10, 36.109728825233)	(11, 36.17043837364023)	(12, 36.10954996620869)	(13, 36.14688761362282)	(14, 36.105187873358155)	(15, 36.08592913683406)	(16, 36.11407676864865)	(17, 36.10343431779368)	(18, 36.095509744618376)	(19, 36.100188589938064)	(20, 36.06641867593232)	(21, 36.070823683086886)	(22, 36.06360641220193)	(23, 36.062415741492025)	(24, 36.042914854758806)	(25, 36.026682784030946)	(26, 36.0069310625552)	(27, 36.00476594483508)	(28, 35.99650538612643)	(29, 35.99678316410426)	(30, 35.97777229687226)	(31, 35.985271455002064)	(32, 35.96976566544729)	(33, 35.95576225780584)	(34, 35.953607095526436)	(35, 35.94803933525955)	(36, 35.94588133462045)	(37, 35.93590716920093)	(38, 35.93125751238615)	(39, 35.92476148140855)	(40, 35.92998372433715)	(41, 35.91746825262909)	(42, 35.91001785497702)	(43, 35.91496109138404)	(44, 35.902704376407506)	(45, 35.88744425323879)	(46, 35.879263804055235)	(47, 35.87279967285151)	(48, 35.858878620004766)	(49, 35.86487336276952)	(50, 35.846603476872005)	(51, 35.80783499962699)
SRR36910431_1	(1, 36.330971531459774)	(2, 36.38139672533566)	(3, 36.49814050155858)	(4, 36.50461116998156)	(5, 36.504605886598156)	(6, 36.54470863131195)	(7, 36.49774483052985)	(8, 36.546282419141605)	(9, 36.56099800159908)	(10, 36.560765998910455)	(11, 36.58659925742823)	(12, 36.54520798873987)	(13, 36.565912597066145)	(14, 36.5415741087175)	(15, 36.54550929698718)	(16, 36.54729826614508)	(17, 36.54070600220713)	(18, 36.535564221253956)	(19, 36.53740256673758)	(20, 36.52820501205835)	(21, 36.529691080184236)	(22, 36.518798724886494)	(23, 36.50961624338931)	(24, 36.50279252064045)	(25, 36.49641586536323)	(26, 36.462337459720516)	(27, 36.46355151129823)	(28, 36.457601333836756)	(29, 36.45068041237273)	(30, 36.445555802415605)	(31, 36.45024523251374)	(32, 36.43864366069164)	(33, 36.43468263823108)	(34, 36.43468240514064)	(35, 36.431194983613935)	(36, 36.425401442930855)	(37, 36.42259386853256)	(38, 36.42239154602714)	(39, 36.4208787113486)	(40, 36.415761599134086)	(41, 36.40756986856923)	(42, 36.40106307112743)	(43, 36.39707590368874)	(44, 36.392271132669215)	(45, 36.38375315317954)	(46, 36.38859382012745)	(47, 36.375964669082855)	(48, 36.378063182350424)	(49, 36.37554732064283)	(50, 36.363913038461746)	(51, 36.334732678864576)
SRR36910431_2	(1, 36.08052245358305)	(2, 36.1110951012508)	(3, 36.19487716929992)	(4, 36.15580196496021)	(5, 36.14890443023741)	(6, 36.17674972546802)	(7, 36.138154920533445)	(8, 36.20878295670644)	(9, 36.23053989069068)	(10, 36.17072915469245)	(11, 36.2322654203994)	(12, 36.18107308702381)	(13, 36.21494213859938)	(14, 36.16722798082955)	(15, 36.16017303236022)	(16, 36.17233522554861)	(17, 36.16546791488671)	(18, 36.15443566647415)	(19, 36.16336606065612)	(20, 36.13427171143279)	(21, 36.1372546475418)	(22, 36.13008012367468)	(23, 36.12297405070129)	(24, 36.11021926390737)	(25, 36.10109249102631)	(26, 36.08541572127449)	(27, 36.08222199370726)	(28, 36.07413872789569)	(29, 36.072988271160796)	(30, 36.056227048118146)	(31, 36.06346306901408)	(32, 36.04630384403825)	(33, 36.03308512956391)	(34, 36.03644707073491)	(35, 36.027105971190565)	(36, 36.02763228941318)	(37, 36.016958883739186)	(38, 36.0113178230549)	(39, 36.00164406459853)	(40, 36.00908660362787)	(41, 35.994239363917934)	(42, 35.985871494674214)	(43, 35.99091619345745)	(44, 35.978859357149766)	(45, 35.96409820551048)	(46, 35.95754945178876)	(47, 35.95115306152061)	(48, 35.93623364146983)	(49, 35.942811376103435)	(50, 35.92499044620543)	(51, 35.88378728150539)
