Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR36910393_1	(0.0, 4017.0)	(1.0, 2843.5)	(2.0, 1670.0)	(3.0, 1217.5)	(4.0, 765.0)	(5.0, 852.5)	(6.0, 940.0)	(7.0, 1076.0)	(8.0, 1212.0)	(9.0, 1556.5)	(10.0, 1901.0)	(11.0, 3232.0)	(12.0, 4563.0)	(13.0, 6327.5)	(14.0, 8092.0)	(15.0, 10830.5)	(16.0, 13569.0)	(17.0, 20488.0)	(18.0, 27407.0)	(19.0, 37331.0)	(20.0, 47255.0)	(21.0, 61106.0)	(22.0, 74957.0)	(23.0, 89104.0)	(24.0, 103251.0)	(25.0, 120237.5)	(26.0, 163710.5)	(27.0, 190197.0)	(28.0, 222423.5)	(29.0, 254650.0)	(30.0, 305440.5)	(31.0, 356231.0)	(32.0, 417613.5)	(33.0, 478996.0)	(34.0, 548611.5)	(35.0, 618227.0)	(36.0, 691982.0)	(37.0, 765737.0)	(38.0, 828896.0)	(39.0, 892055.0)	(40.0, 967062.5)	(41.0, 1042070.0)	(42.0, 1154109.5)	(43.0, 1266149.0)	(44.0, 1349149.5)	(45.0, 1432150.0)	(46.0, 1498391.0)	(47.0, 1564632.0)	(48.0, 1630310.0)	(49.0, 1695988.0)	(50.0, 1746593.0)	(51.0, 1797198.0)	(52.0, 1807829.0)	(53.0, 1818460.0)	(54.0, 1846902.5)	(55.0, 1875345.0)	(56.0, 1865964.5)	(57.0, 1856584.0)	(58.0, 1821840.0)	(59.0, 1787096.0)	(60.0, 1697913.0)	(61.0, 1608730.0)	(62.0, 1548459.0)	(63.0, 1488188.0)	(64.0, 1349983.5)	(65.0, 1211779.0)	(66.0, 1108932.5)	(67.0, 1006086.0)	(68.0, 905985.0)	(69.0, 805884.0)	(70.0, 710213.0)	(71.0, 614542.0)	(72.0, 532323.5)	(73.0, 450105.0)	(74.0, 381203.0)	(75.0, 263775.0)	(76.0, 215249.0)	(77.0, 182353.5)	(78.0, 149458.0)	(79.0, 128880.0)	(80.0, 108302.0)	(81.0, 96449.5)	(82.0, 84597.0)	(83.0, 72359.5)	(84.0, 60122.0)	(85.0, 48529.0)	(86.0, 36936.0)	(87.0, 33605.5)	(88.0, 30275.0)	(89.0, 22480.0)	(90.0, 14685.0)	(91.0, 11625.0)	(92.0, 8565.0)	(93.0, 6449.0)	(94.0, 4333.0)	(95.0, 5732.0)	(96.0, 7131.0)	(97.0, 5054.0)	(98.0, 2977.0)	(99.0, 1637.0)	(100.0, 297.0)
SRR36910393_2	(0.0, 2395.0)	(1.0, 1571.0)	(2.0, 747.0)	(3.0, 857.0)	(4.0, 967.0)	(5.0, 1184.5)	(6.0, 1402.0)	(7.0, 1428.5)	(8.0, 1455.0)	(9.0, 1838.5)	(10.0, 2222.0)	(11.0, 2857.5)	(12.0, 3493.0)	(13.0, 4436.0)	(14.0, 5379.0)	(15.0, 7123.5)	(16.0, 8868.0)	(17.0, 11885.0)	(18.0, 14902.0)	(19.0, 20391.5)	(20.0, 25881.0)	(21.0, 33564.5)	(22.0, 41248.0)	(23.0, 52239.0)	(24.0, 63230.0)	(25.0, 80983.0)	(26.0, 122781.0)	(27.0, 146826.0)	(28.0, 174865.0)	(29.0, 202904.0)	(30.0, 251197.0)	(31.0, 299490.0)	(32.0, 359284.5)	(33.0, 419079.0)	(34.0, 505543.0)	(35.0, 592007.0)	(36.0, 650887.5)	(37.0, 709768.0)	(38.0, 776254.0)	(39.0, 842740.0)	(40.0, 924122.0)	(41.0, 1005504.0)	(42.0, 1094293.0)	(43.0, 1183082.0)	(44.0, 1278639.0)	(45.0, 1374196.0)	(46.0, 1444927.0)	(47.0, 1515658.0)	(48.0, 1564015.0)	(49.0, 1612372.0)	(50.0, 1673341.0)	(51.0, 1734310.0)	(52.0, 1781489.0)	(53.0, 1828668.0)	(54.0, 1823352.5)	(55.0, 1818037.0)	(56.0, 1813951.0)	(57.0, 1809865.0)	(58.0, 1816470.5)	(59.0, 1823076.0)	(60.0, 1743760.0)	(61.0, 1664444.0)	(62.0, 1583778.0)	(63.0, 1503112.0)	(64.0, 1393029.5)	(65.0, 1282947.0)	(66.0, 1178371.5)	(67.0, 1073796.0)	(68.0, 977210.0)	(69.0, 880624.0)	(70.0, 776447.0)	(71.0, 672270.0)	(72.0, 597590.0)	(73.0, 522910.0)	(74.0, 463127.0)	(75.0, 352323.5)	(76.0, 301303.0)	(77.0, 266248.5)	(78.0, 231194.0)	(79.0, 198760.5)	(80.0, 166327.0)	(81.0, 155761.0)	(82.0, 145195.0)	(83.0, 125176.5)	(84.0, 105158.0)	(85.0, 85158.0)	(86.0, 65158.0)	(87.0, 53283.0)	(88.0, 41408.0)	(89.0, 33788.0)	(90.0, 26168.0)	(91.0, 24591.5)	(92.0, 23015.0)	(93.0, 16789.0)	(94.0, 10563.0)	(95.0, 8463.5)	(96.0, 6364.0)	(97.0, 5874.5)	(98.0, 5385.0)	(99.0, 12661.5)	(100.0, 19938.0)
SRR36910395_1	(0.0, 6701.0)	(1.0, 4678.5)	(2.0, 2656.0)	(3.0, 1844.0)	(4.0, 1032.0)	(5.0, 1164.5)	(6.0, 1297.0)	(7.0, 1556.0)	(8.0, 1815.0)	(9.0, 2388.5)	(10.0, 2962.0)	(11.0, 4859.5)	(12.0, 6757.0)	(13.0, 9601.0)	(14.0, 12445.0)	(15.0, 16850.5)	(16.0, 21256.0)	(17.0, 31305.5)	(18.0, 41355.0)	(19.0, 55240.5)	(20.0, 69126.0)	(21.0, 88823.5)	(22.0, 108521.0)	(23.0, 128634.5)	(24.0, 148748.0)	(25.0, 169847.0)	(26.0, 228143.0)	(27.0, 265340.0)	(28.0, 307218.0)	(29.0, 349096.0)	(30.0, 415883.0)	(31.0, 482670.0)	(32.0, 559075.0)	(33.0, 635480.0)	(34.0, 731912.5)	(35.0, 828345.0)	(36.0, 922516.5)	(37.0, 1016688.0)	(38.0, 1099634.0)	(39.0, 1182580.0)	(40.0, 1289658.5)	(41.0, 1396737.0)	(42.0, 1538179.5)	(43.0, 1679622.0)	(44.0, 1795660.5)	(45.0, 1911699.0)	(46.0, 2002237.0)	(47.0, 2092775.0)	(48.0, 2176233.0)	(49.0, 2259691.0)	(50.0, 2326323.5)	(51.0, 2392956.0)	(52.0, 2415080.0)	(53.0, 2437204.0)	(54.0, 2475276.5)	(55.0, 2513349.0)	(56.0, 2497076.5)	(57.0, 2480804.0)	(58.0, 2436933.5)	(59.0, 2393063.0)	(60.0, 2277430.5)	(61.0, 2161798.0)	(62.0, 2072455.0)	(63.0, 1983112.0)	(64.0, 1797224.0)	(65.0, 1611336.0)	(66.0, 1467265.0)	(67.0, 1323194.0)	(68.0, 1192031.5)	(69.0, 1060869.0)	(70.0, 928420.5)	(71.0, 795972.0)	(72.0, 689060.5)	(73.0, 582149.0)	(74.0, 494412.5)	(75.0, 335118.0)	(76.0, 263560.0)	(77.0, 223380.0)	(78.0, 183200.0)	(79.0, 157011.0)	(80.0, 130822.0)	(81.0, 116934.5)	(82.0, 103047.0)	(83.0, 86066.0)	(84.0, 69085.0)	(85.0, 55388.5)	(86.0, 41692.0)	(87.0, 38092.5)	(88.0, 34493.0)	(89.0, 27282.5)	(90.0, 20072.0)	(91.0, 15360.0)	(92.0, 10648.0)	(93.0, 7712.0)	(94.0, 4776.0)	(95.0, 5212.5)	(96.0, 5649.0)	(97.0, 3845.5)	(98.0, 2042.0)	(99.0, 1173.5)	(100.0, 305.0)
SRR36910395_2	(0.0, 4802.0)	(1.0, 2997.5)	(2.0, 1193.0)	(3.0, 1157.0)	(4.0, 1121.0)	(5.0, 1365.0)	(6.0, 1609.0)	(7.0, 1818.5)	(8.0, 2028.0)	(9.0, 2445.0)	(10.0, 2862.0)	(11.0, 3884.0)	(12.0, 4906.0)	(13.0, 6164.0)	(14.0, 7422.0)	(15.0, 9570.5)	(16.0, 11719.0)	(17.0, 17097.5)	(18.0, 22476.0)	(19.0, 28776.0)	(20.0, 35076.0)	(21.0, 45584.0)	(22.0, 56092.0)	(23.0, 70421.0)	(24.0, 84750.0)	(25.0, 108220.0)	(26.0, 162848.0)	(27.0, 194006.0)	(28.0, 232296.0)	(29.0, 270586.0)	(30.0, 330815.5)	(31.0, 391045.0)	(32.0, 471442.5)	(33.0, 551840.0)	(34.0, 665512.5)	(35.0, 779185.0)	(36.0, 850363.0)	(37.0, 921541.0)	(38.0, 1014590.0)	(39.0, 1107639.0)	(40.0, 1215635.0)	(41.0, 1323631.0)	(42.0, 1436670.5)	(43.0, 1549710.0)	(44.0, 1686890.0)	(45.0, 1824070.0)	(46.0, 1925762.5)	(47.0, 2027455.0)	(48.0, 2093615.5)	(49.0, 2159776.0)	(50.0, 2240787.0)	(51.0, 2321798.0)	(52.0, 2390524.5)	(53.0, 2459251.0)	(54.0, 2448949.0)	(55.0, 2438647.0)	(56.0, 2449053.5)	(57.0, 2459460.0)	(58.0, 2459972.5)	(59.0, 2460485.0)	(60.0, 2353844.5)	(61.0, 2247204.0)	(62.0, 2128634.5)	(63.0, 2010065.0)	(64.0, 1864061.0)	(65.0, 1718057.0)	(66.0, 1574826.5)	(67.0, 1431596.0)	(68.0, 1297030.5)	(69.0, 1162465.0)	(70.0, 1020542.0)	(71.0, 878619.0)	(72.0, 776939.0)	(73.0, 675259.0)	(74.0, 598109.5)	(75.0, 450415.5)	(76.0, 379871.0)	(77.0, 338679.0)	(78.0, 297487.0)	(79.0, 256414.5)	(80.0, 215342.0)	(81.0, 199855.5)	(82.0, 184369.0)	(83.0, 157941.5)	(84.0, 131514.0)	(85.0, 107702.5)	(86.0, 83891.0)	(87.0, 68162.5)	(88.0, 52434.0)	(89.0, 43531.5)	(90.0, 34629.0)	(91.0, 33052.5)	(92.0, 31476.0)	(93.0, 23550.0)	(94.0, 15624.0)	(95.0, 13174.5)	(96.0, 10725.0)	(97.0, 10134.0)	(98.0, 9543.0)	(99.0, 19377.5)	(100.0, 29212.0)
SRR36910397_1	(0.0, 8809.0)	(1.0, 5612.5)	(2.0, 2416.0)	(3.0, 1666.5)	(4.0, 917.0)	(5.0, 986.5)	(6.0, 1056.0)	(7.0, 1288.5)	(8.0, 1521.0)	(9.0, 2004.0)	(10.0, 2487.0)	(11.0, 4095.0)	(12.0, 5703.0)	(13.0, 7864.5)	(14.0, 10026.0)	(15.0, 13563.0)	(16.0, 17100.0)	(17.0, 26415.0)	(18.0, 35730.0)	(19.0, 48133.5)	(20.0, 60537.0)	(21.0, 78812.5)	(22.0, 97088.0)	(23.0, 112427.0)	(24.0, 127766.0)	(25.0, 147137.5)	(26.0, 201501.0)	(27.0, 236493.0)	(28.0, 269633.5)	(29.0, 302774.0)	(30.0, 359666.5)	(31.0, 416559.0)	(32.0, 481714.5)	(33.0, 546870.0)	(34.0, 629132.5)	(35.0, 711395.0)	(36.0, 796626.5)	(37.0, 881858.0)	(38.0, 952984.0)	(39.0, 1024110.0)	(40.0, 1115539.5)	(41.0, 1206969.0)	(42.0, 1341115.0)	(43.0, 1475261.0)	(44.0, 1574845.0)	(45.0, 1674429.0)	(46.0, 1752225.5)	(47.0, 1830022.0)	(48.0, 1901507.0)	(49.0, 1972992.0)	(50.0, 2029045.5)	(51.0, 2085099.0)	(52.0, 2120104.0)	(53.0, 2155109.0)	(54.0, 2187272.5)	(55.0, 2219436.0)	(56.0, 2209672.5)	(57.0, 2199909.0)	(58.0, 2152945.5)	(59.0, 2105982.0)	(60.0, 2012816.5)	(61.0, 1919651.0)	(62.0, 1840184.0)	(63.0, 1760717.0)	(64.0, 1601946.0)	(65.0, 1443175.0)	(66.0, 1310420.5)	(67.0, 1177666.0)	(68.0, 1062461.0)	(69.0, 947256.0)	(70.0, 830276.0)	(71.0, 713296.0)	(72.0, 613766.5)	(73.0, 514237.0)	(74.0, 434729.0)	(75.0, 291956.5)	(76.0, 228692.0)	(77.0, 192152.0)	(78.0, 155612.0)	(79.0, 131679.5)	(80.0, 107747.0)	(81.0, 96237.0)	(82.0, 84727.0)	(83.0, 70764.0)	(84.0, 56801.0)	(85.0, 45292.5)	(86.0, 33784.0)	(87.0, 31060.0)	(88.0, 28336.0)	(89.0, 21060.0)	(90.0, 13784.0)	(91.0, 10340.5)	(92.0, 6897.0)	(93.0, 4993.0)	(94.0, 3089.0)	(95.0, 3507.0)	(96.0, 3925.0)	(97.0, 2866.5)	(98.0, 1808.0)	(99.0, 1004.0)	(100.0, 200.0)
SRR36910397_2	(0.0, 4596.0)	(1.0, 2811.0)	(2.0, 1026.0)	(3.0, 1103.0)	(4.0, 1180.0)	(5.0, 1342.5)	(6.0, 1505.0)	(7.0, 1810.0)	(8.0, 2115.0)	(9.0, 2478.5)	(10.0, 2842.0)	(11.0, 3524.0)	(12.0, 4206.0)	(13.0, 5310.0)	(14.0, 6414.0)	(15.0, 8411.5)	(16.0, 10409.0)	(17.0, 14385.0)	(18.0, 18361.0)	(19.0, 24318.5)	(20.0, 30276.0)	(21.0, 39198.5)	(22.0, 48121.0)	(23.0, 60423.5)	(24.0, 72726.0)	(25.0, 92267.0)	(26.0, 139323.0)	(27.0, 166838.0)	(28.0, 199396.5)	(29.0, 231955.0)	(30.0, 287769.0)	(31.0, 343583.0)	(32.0, 410307.0)	(33.0, 477031.0)	(34.0, 579399.0)	(35.0, 681767.0)	(36.0, 744447.0)	(37.0, 807127.0)	(38.0, 883466.5)	(39.0, 959806.0)	(40.0, 1059457.0)	(41.0, 1159108.0)	(42.0, 1254908.5)	(43.0, 1350709.0)	(44.0, 1463756.0)	(45.0, 1576803.0)	(46.0, 1674364.5)	(47.0, 1771926.0)	(48.0, 1817138.5)	(49.0, 1862351.0)	(50.0, 1941371.0)	(51.0, 2020391.0)	(52.0, 2097746.0)	(53.0, 2175101.0)	(54.0, 2170890.0)	(55.0, 2166679.0)	(56.0, 2171526.5)	(57.0, 2176374.0)	(58.0, 2166017.5)	(59.0, 2155661.0)	(60.0, 2070441.0)	(61.0, 1985221.0)	(62.0, 1878563.5)	(63.0, 1771906.0)	(64.0, 1649302.0)	(65.0, 1526698.0)	(66.0, 1401220.5)	(67.0, 1275743.0)	(68.0, 1161806.5)	(69.0, 1047870.0)	(70.0, 917787.5)	(71.0, 787705.0)	(72.0, 699103.0)	(73.0, 610501.0)	(74.0, 538827.0)	(75.0, 406681.0)	(76.0, 346209.0)	(77.0, 305917.0)	(78.0, 265625.0)	(79.0, 228455.0)	(80.0, 191285.0)	(81.0, 177844.5)	(82.0, 164404.0)	(83.0, 139451.0)	(84.0, 114498.0)	(85.0, 92289.5)	(86.0, 70081.0)	(87.0, 55092.0)	(88.0, 40103.0)	(89.0, 32751.0)	(90.0, 25399.0)	(91.0, 23176.0)	(92.0, 20953.0)	(93.0, 14554.5)	(94.0, 8156.0)	(95.0, 6233.0)	(96.0, 4310.0)	(97.0, 3929.5)	(98.0, 3549.0)	(99.0, 8469.0)	(100.0, 13389.0)
SRR36910429_1	(0.0, 4927.0)	(1.0, 3252.5)	(2.0, 1578.0)	(3.0, 1279.5)	(4.0, 981.0)	(5.0, 1291.5)	(6.0, 1602.0)	(7.0, 1837.5)	(8.0, 2073.0)	(9.0, 2928.0)	(10.0, 3783.0)	(11.0, 5864.5)	(12.0, 7946.0)	(13.0, 10957.5)	(14.0, 13969.0)	(15.0, 20658.5)	(16.0, 27348.0)	(17.0, 41174.0)	(18.0, 55000.0)	(19.0, 66924.0)	(20.0, 78848.0)	(21.0, 100730.5)	(22.0, 122613.0)	(23.0, 149886.0)	(24.0, 177159.0)	(25.0, 214773.5)	(26.0, 287055.0)	(27.0, 321722.0)	(28.0, 364200.0)	(29.0, 406678.0)	(30.0, 454554.5)	(31.0, 502431.0)	(32.0, 551303.0)	(33.0, 600175.0)	(34.0, 657706.5)	(35.0, 715238.0)	(36.0, 771549.0)	(37.0, 827860.0)	(38.0, 866228.0)	(39.0, 904596.0)	(40.0, 961629.5)	(41.0, 1018663.0)	(42.0, 1072627.0)	(43.0, 1126591.0)	(44.0, 1159034.5)	(45.0, 1191478.0)	(46.0, 1228053.0)	(47.0, 1264628.0)	(48.0, 1297741.5)	(49.0, 1330855.0)	(50.0, 1363237.0)	(51.0, 1395619.0)	(52.0, 1402041.5)	(53.0, 1408464.0)	(54.0, 1412364.5)	(55.0, 1416265.0)	(56.0, 1387252.0)	(57.0, 1358239.0)	(58.0, 1317333.0)	(59.0, 1276427.0)	(60.0, 1224821.0)	(61.0, 1173215.0)	(62.0, 1121510.0)	(63.0, 1069805.0)	(64.0, 981382.0)	(65.0, 892959.0)	(66.0, 804347.0)	(67.0, 715735.0)	(68.0, 643645.5)	(69.0, 571556.0)	(70.0, 498609.0)	(71.0, 425662.0)	(72.0, 369938.0)	(73.0, 314214.0)	(74.0, 267068.5)	(75.0, 176580.0)	(76.0, 133237.0)	(77.0, 109397.5)	(78.0, 85558.0)	(79.0, 73215.0)	(80.0, 60872.0)	(81.0, 50652.5)	(82.0, 40433.0)	(83.0, 32942.5)	(84.0, 25452.0)	(85.0, 21954.0)	(86.0, 18456.0)	(87.0, 17966.5)	(88.0, 17477.0)	(89.0, 14161.0)	(90.0, 10845.0)	(91.0, 8301.5)	(92.0, 5758.0)	(93.0, 4065.5)	(94.0, 2373.0)	(95.0, 2854.5)	(96.0, 3336.0)	(97.0, 2659.5)	(98.0, 1983.0)	(99.0, 1086.5)	(100.0, 190.0)
SRR36910429_2	(0.0, 3429.0)	(1.0, 2159.0)	(2.0, 889.0)	(3.0, 1013.0)	(4.0, 1137.0)	(5.0, 1635.0)	(6.0, 2133.0)	(7.0, 2802.5)	(8.0, 3472.0)	(9.0, 4492.0)	(10.0, 5512.0)	(11.0, 6940.0)	(12.0, 8368.0)	(13.0, 10261.0)	(14.0, 12154.0)	(15.0, 16570.5)	(16.0, 20987.0)	(17.0, 29195.0)	(18.0, 37403.0)	(19.0, 47341.0)	(20.0, 57279.0)	(21.0, 72637.0)	(22.0, 87995.0)	(23.0, 106764.5)	(24.0, 125534.0)	(25.0, 154187.0)	(26.0, 212649.0)	(27.0, 242458.0)	(28.0, 284579.5)	(29.0, 326701.0)	(30.0, 375757.0)	(31.0, 424813.0)	(32.0, 473730.5)	(33.0, 522648.0)	(34.0, 586894.5)	(35.0, 651141.0)	(36.0, 704878.5)	(37.0, 758616.0)	(38.0, 793107.0)	(39.0, 827598.0)	(40.0, 892364.0)	(41.0, 957130.0)	(42.0, 1010245.0)	(43.0, 1063360.0)	(44.0, 1112660.5)	(45.0, 1161961.0)	(46.0, 1209946.0)	(47.0, 1257931.0)	(48.0, 1286164.5)	(49.0, 1314398.0)	(50.0, 1361027.0)	(51.0, 1407656.0)	(52.0, 1429877.0)	(53.0, 1452098.0)	(54.0, 1437662.5)	(55.0, 1423227.0)	(56.0, 1417854.0)	(57.0, 1412481.0)	(58.0, 1371188.0)	(59.0, 1329895.0)	(60.0, 1297753.0)	(61.0, 1265611.0)	(62.0, 1175783.5)	(63.0, 1085956.0)	(64.0, 1011472.0)	(65.0, 936988.0)	(66.0, 868391.0)	(67.0, 799794.0)	(68.0, 714768.0)	(69.0, 629742.0)	(70.0, 554580.0)	(71.0, 479418.0)	(72.0, 417796.0)	(73.0, 356174.0)	(74.0, 311524.5)	(75.0, 226754.5)	(76.0, 186634.0)	(77.0, 162648.5)	(78.0, 138663.0)	(79.0, 120087.5)	(80.0, 101512.0)	(81.0, 87582.5)	(82.0, 73653.0)	(83.0, 66652.5)	(84.0, 59652.0)	(85.0, 50018.0)	(86.0, 40384.0)	(87.0, 33376.0)	(88.0, 26368.0)	(89.0, 24293.5)	(90.0, 22219.0)	(91.0, 19855.0)	(92.0, 17491.0)	(93.0, 13683.5)	(94.0, 9876.0)	(95.0, 7716.5)	(96.0, 5557.0)	(97.0, 4742.5)	(98.0, 3928.0)	(99.0, 9686.0)	(100.0, 15444.0)
SRR36910431_1	(0.0, 5583.0)	(1.0, 3808.5)	(2.0, 2034.0)	(3.0, 1690.0)	(4.0, 1346.0)	(5.0, 1591.0)	(6.0, 1836.0)	(7.0, 2161.5)	(8.0, 2487.0)	(9.0, 3396.0)	(10.0, 4305.0)	(11.0, 6520.0)	(12.0, 8735.0)	(13.0, 12330.5)	(14.0, 15926.0)	(15.0, 23604.5)	(16.0, 31283.0)	(17.0, 45992.0)	(18.0, 60701.0)	(19.0, 75017.5)	(20.0, 89334.0)	(21.0, 114275.0)	(22.0, 139216.0)	(23.0, 170607.5)	(24.0, 201999.0)	(25.0, 244384.0)	(26.0, 325574.5)	(27.0, 364380.0)	(28.0, 411119.0)	(29.0, 457858.0)	(30.0, 510301.5)	(31.0, 562745.0)	(32.0, 617043.0)	(33.0, 671341.0)	(34.0, 730391.0)	(35.0, 789441.0)	(36.0, 850968.0)	(37.0, 912495.0)	(38.0, 952250.0)	(39.0, 992005.0)	(40.0, 1051161.0)	(41.0, 1110317.0)	(42.0, 1170217.5)	(43.0, 1230118.0)	(44.0, 1264381.5)	(45.0, 1298645.0)	(46.0, 1337873.5)	(47.0, 1377102.0)	(48.0, 1414245.0)	(49.0, 1451388.0)	(50.0, 1480506.5)	(51.0, 1509625.0)	(52.0, 1510693.5)	(53.0, 1511762.0)	(54.0, 1521477.0)	(55.0, 1531192.0)	(56.0, 1499813.5)	(57.0, 1468435.0)	(58.0, 1425983.5)	(59.0, 1383532.0)	(60.0, 1327881.5)	(61.0, 1272231.0)	(62.0, 1215422.5)	(63.0, 1158614.0)	(64.0, 1061955.5)	(65.0, 965297.0)	(66.0, 869176.5)	(67.0, 773056.0)	(68.0, 696272.0)	(69.0, 619488.0)	(70.0, 538785.5)	(71.0, 458083.0)	(72.0, 398434.5)	(73.0, 338786.0)	(74.0, 288913.5)	(75.0, 191949.0)	(76.0, 144857.0)	(77.0, 118942.5)	(78.0, 93028.0)	(79.0, 79595.0)	(80.0, 66162.0)	(81.0, 55530.5)	(82.0, 44899.0)	(83.0, 36680.5)	(84.0, 28462.0)	(85.0, 24677.5)	(86.0, 20893.0)	(87.0, 20116.0)	(88.0, 19339.0)	(89.0, 15707.0)	(90.0, 12075.0)	(91.0, 9269.0)	(92.0, 6463.0)	(93.0, 4306.5)	(94.0, 2150.0)	(95.0, 2440.5)	(96.0, 2731.0)	(97.0, 2035.5)	(98.0, 1340.0)	(99.0, 745.5)	(100.0, 151.0)
SRR36910431_2	(0.0, 3485.0)	(1.0, 2173.5)	(2.0, 862.0)	(3.0, 1069.0)	(4.0, 1276.0)	(5.0, 1713.5)	(6.0, 2151.0)	(7.0, 2703.0)	(8.0, 3255.0)	(9.0, 4343.0)	(10.0, 5431.0)	(11.0, 6780.0)	(12.0, 8129.0)	(13.0, 10463.0)	(14.0, 12797.0)	(15.0, 17387.5)	(16.0, 21978.0)	(17.0, 31310.5)	(18.0, 40643.0)	(19.0, 52283.5)	(20.0, 63924.0)	(21.0, 80594.5)	(22.0, 97265.0)	(23.0, 118772.5)	(24.0, 140280.0)	(25.0, 172665.5)	(26.0, 237784.0)	(27.0, 270517.0)	(28.0, 316692.5)	(29.0, 362868.0)	(30.0, 416311.5)	(31.0, 469755.0)	(32.0, 523044.0)	(33.0, 576333.0)	(34.0, 647166.0)	(35.0, 717999.0)	(36.0, 774914.0)	(37.0, 831829.0)	(38.0, 871161.0)	(39.0, 910493.0)	(40.0, 982360.5)	(41.0, 1054228.0)	(42.0, 1110224.0)	(43.0, 1166220.0)	(44.0, 1217905.0)	(45.0, 1269590.0)	(46.0, 1322431.5)	(47.0, 1375273.0)	(48.0, 1404399.0)	(49.0, 1433525.0)	(50.0, 1483673.0)	(51.0, 1533821.0)	(52.0, 1555282.5)	(53.0, 1576744.0)	(54.0, 1560467.5)	(55.0, 1544191.0)	(56.0, 1541144.0)	(57.0, 1538097.0)	(58.0, 1492961.0)	(59.0, 1447825.0)	(60.0, 1414649.5)	(61.0, 1381474.0)	(62.0, 1284892.0)	(63.0, 1188310.0)	(64.0, 1103510.0)	(65.0, 1018710.0)	(66.0, 944714.0)	(67.0, 870718.0)	(68.0, 777530.5)	(69.0, 684343.0)	(70.0, 603334.0)	(71.0, 522325.0)	(72.0, 454193.5)	(73.0, 386062.0)	(74.0, 337065.0)	(75.0, 243643.0)	(76.0, 199218.0)	(77.0, 173616.0)	(78.0, 148014.0)	(79.0, 127398.5)	(80.0, 106783.0)	(81.0, 91733.5)	(82.0, 76684.0)	(83.0, 68992.5)	(84.0, 61301.0)	(85.0, 50197.0)	(86.0, 39093.0)	(87.0, 31637.0)	(88.0, 24181.0)	(89.0, 21789.0)	(90.0, 19397.0)	(91.0, 17543.5)	(92.0, 15690.0)	(93.0, 11727.5)	(94.0, 7765.0)	(95.0, 5709.0)	(96.0, 3653.0)	(97.0, 3206.0)	(98.0, 2759.0)	(99.0, 6728.5)	(100.0, 10698.0)
