Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR36910393_1	(15.0, 1.0)	(16.0, 4.0)	(17.0, 14.0)	(18.0, 51.0)	(19.0, 129.0)	(20.0, 424.0)	(21.0, 1011.0)	(22.0, 2374.0)	(23.0, 5552.0)	(24.0, 12482.0)	(25.0, 26596.0)	(26.0, 47133.0)	(27.0, 87010.0)	(28.0, 129761.0)	(29.0, 203710.0)	(30.0, 269349.0)	(31.0, 367410.0)	(32.0, 454703.0)	(33.0, 594067.0)	(34.0, 816751.0)	(35.0, 1665138.0)	(36.0, 10425736.0)	(37.0, 13229724.0)					
SRR36910393_2	(10.0, 1.0)	(11.0, 70.0)	(12.0, 459.0)	(13.0, 1804.0)	(14.0, 3992.0)	(15.0, 6489.0)	(16.0, 7934.0)	(17.0, 10718.0)	(18.0, 12825.0)	(19.0, 16675.0)	(20.0, 21372.0)	(21.0, 30899.0)	(22.0, 43452.0)	(23.0, 60504.0)	(24.0, 77415.0)	(25.0, 99739.0)	(26.0, 115384.0)	(27.0, 148900.0)	(28.0, 170104.0)	(29.0, 223255.0)	(30.0, 263654.0)	(31.0, 348184.0)	(32.0, 445598.0)	(33.0, 652789.0)	(34.0, 1073847.0)	(35.0, 2839204.0)	(36.0, 12288855.0)	(37.0, 9375008.0)
SRR36910395_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 0.0)	(17.0, 15.0)	(18.0, 60.0)	(19.0, 171.0)	(20.0, 590.0)	(21.0, 1312.0)	(22.0, 3227.0)	(23.0, 8397.0)	(24.0, 18310.0)	(25.0, 38928.0)	(26.0, 67283.0)	(27.0, 120675.0)	(28.0, 175817.0)	(29.0, 270798.0)	(30.0, 354276.0)	(31.0, 481418.0)	(32.0, 593035.0)	(33.0, 777371.0)	(34.0, 1063922.0)	(35.0, 2137676.0)	(36.0, 13515143.0)	(37.0, 18099787.0)				
SRR36910395_2	(11.0, 109.0)	(12.0, 648.0)	(13.0, 2292.0)	(14.0, 4700.0)	(15.0, 7303.0)	(16.0, 8662.0)	(17.0, 11554.0)	(18.0, 14765.0)	(19.0, 21899.0)	(20.0, 31821.0)	(21.0, 48117.0)	(22.0, 68437.0)	(23.0, 94588.0)	(24.0, 117987.0)	(25.0, 149179.0)	(26.0, 169490.0)	(27.0, 215647.0)	(28.0, 242344.0)	(29.0, 314382.0)	(30.0, 370922.0)	(31.0, 487607.0)	(32.0, 622465.0)	(33.0, 918226.0)	(34.0, 1540536.0)	(35.0, 4143541.0)	(36.0, 16785638.0)	(37.0, 11335354.0)	
SRR36910397_1	(17.0, 11.0)	(18.0, 49.0)	(19.0, 135.0)	(20.0, 368.0)	(21.0, 984.0)	(22.0, 2174.0)	(23.0, 5812.0)	(24.0, 13063.0)	(25.0, 29351.0)	(26.0, 52060.0)	(27.0, 96330.0)	(28.0, 144961.0)	(29.0, 227934.0)	(30.0, 301361.0)	(31.0, 413144.0)	(32.0, 512939.0)	(33.0, 672158.0)	(34.0, 924465.0)	(35.0, 1851467.0)	(36.0, 11774457.0)	(37.0, 16116330.0)							
SRR36910397_2	(10.0, 1.0)	(11.0, 56.0)	(12.0, 355.0)	(13.0, 1447.0)	(14.0, 3366.0)	(15.0, 5831.0)	(16.0, 6943.0)	(17.0, 9215.0)	(18.0, 11096.0)	(19.0, 15483.0)	(20.0, 21944.0)	(21.0, 34417.0)	(22.0, 52218.0)	(23.0, 75057.0)	(24.0, 97526.0)	(25.0, 127402.0)	(26.0, 147869.0)	(27.0, 189706.0)	(28.0, 214253.0)	(29.0, 280861.0)	(30.0, 329238.0)	(31.0, 434038.0)	(32.0, 552225.0)	(33.0, 810717.0)	(34.0, 1335928.0)	(35.0, 3479463.0)	(36.0, 14554065.0)	(37.0, 10348833.0)
SRR36910429_1	(15.0, 1.0)	(16.0, 3.0)	(17.0, 9.0)	(18.0, 34.0)	(19.0, 86.0)	(20.0, 207.0)	(21.0, 560.0)	(22.0, 1339.0)	(23.0, 3369.0)	(24.0, 7475.0)	(25.0, 16214.0)	(26.0, 29018.0)	(27.0, 52862.0)	(28.0, 78429.0)	(29.0, 120713.0)	(30.0, 157466.0)	(31.0, 214336.0)	(32.0, 265895.0)	(33.0, 350571.0)	(34.0, 480528.0)	(35.0, 942090.0)	(36.0, 7120799.0)	(37.0, 13763179.0)					
SRR36910429_2	(11.0, 62.0)	(12.0, 548.0)	(13.0, 2058.0)	(14.0, 5275.0)	(15.0, 10042.0)	(16.0, 13452.0)	(17.0, 19985.0)	(18.0, 23298.0)	(19.0, 28738.0)	(20.0, 33872.0)	(21.0, 41755.0)	(22.0, 48483.0)	(23.0, 57562.0)	(24.0, 63058.0)	(25.0, 74608.0)	(26.0, 79528.0)	(27.0, 96927.0)	(28.0, 106233.0)	(29.0, 134676.0)	(30.0, 158538.0)	(31.0, 206330.0)	(32.0, 262736.0)	(33.0, 382096.0)	(34.0, 623565.0)	(35.0, 1704587.0)	(36.0, 10190406.0)	(37.0, 9236765.0)	
SRR36910431_1	(15.0, 1.0)	(16.0, 2.0)	(17.0, 12.0)	(18.0, 31.0)	(19.0, 95.0)	(20.0, 228.0)	(21.0, 582.0)	(22.0, 1373.0)	(23.0, 3447.0)	(24.0, 7586.0)	(25.0, 16561.0)	(26.0, 29942.0)	(27.0, 55546.0)	(28.0, 82479.0)	(29.0, 127957.0)	(30.0, 167469.0)	(31.0, 228513.0)	(32.0, 283702.0)	(33.0, 376239.0)	(34.0, 517545.0)	(35.0, 1024922.0)	(36.0, 7846180.0)	(37.0, 14970669.0)					
SRR36910431_2	(11.0, 51.0)	(12.0, 337.0)	(13.0, 1205.0)	(14.0, 2642.0)	(15.0, 4252.0)	(16.0, 5841.0)	(17.0, 9627.0)	(18.0, 13818.0)	(19.0, 21705.0)	(20.0, 29692.0)	(21.0, 40082.0)	(22.0, 47240.0)	(23.0, 56778.0)	(24.0, 63785.0)	(25.0, 76054.0)	(26.0, 82509.0)	(27.0, 102016.0)	(28.0, 112233.0)	(29.0, 144291.0)	(30.0, 169227.0)	(31.0, 221534.0)	(32.0, 282966.0)	(33.0, 413597.0)	(34.0, 681595.0)	(35.0, 1868603.0)	(36.0, 11087709.0)	(37.0, 10201692.0)	
