Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR36910393_1	(1.0, 9.475811539623399)	(2.0, 0.6532243856488215)	(3.0, 0.33994250114876423)	(4.0, 0.37057341376257397)	(5.0, 0.4374861341252378)	(6.0, 0.5771758132390243)	(7.0, 0.7199347049267634)	(8.0, 0.9575838984719136)	(9.0, 1.1393001879409135)	('>10', 43.504312845152924)	('>50', 9.909210970894275)	('>100', 18.852297289875942)	('>500', 6.518623073314508)	('>1k', 6.2080028153634235)	('>5k', 0.2862675163195695)	('>10k+', 0.05025291019190664)
SRR36910393_2	(1.0, 9.711292249777621)	(2.0, 0.6376322802705557)	(3.0, 0.3648753254594133)	(4.0, 0.3627756983858888)	(5.0, 0.46152493139520423)	(6.0, 0.5860648491471548)	(7.0, 0.7181594484688837)	(8.0, 0.947192881619393)	(9.0, 1.1820383548129505)	('>10', 41.55561553688305)	('>50', 9.609684924423957)	('>100', 18.35982362888952)	('>500', 6.640439936768576)	('>1k', 8.05235712690367)	('>5k', 0.5890560040929766)	('>10k+', 0.22146682270101814)
SRR36910395_1	(1.0, 10.455821389030925)	(2.0, 1.0292850548673134)	(3.0, 0.9614834636967459)	(4.0, 1.206486620645195)	(5.0, 1.5408540124412038)	(6.0, 1.8708120846958536)	(7.0, 2.1228786291521717)	(8.0, 2.2181769730515897)	(9.0, 2.1769002177579426)	('>10', 34.907235909655945)	('>50', 8.079471537256923)	('>100', 17.855741690173378)	('>500', 6.691031992908658)	('>1k', 8.202525471466316)	('>5k', 0.6028310675867763)	('>10k+', 0.07846388561302231)
SRR36910395_2	(1.0, 10.792141401766242)	(2.0, 1.052162132453812)	(3.0, 0.9356476712400006)	(4.0, 1.234277399683319)	(5.0, 1.5293409593175018)	(6.0, 1.8294394758938366)	(7.0, 2.063103669412649)	(8.0, 2.2401841685179593)	(9.0, 2.241273600218574)	('>10', 32.733177288940105)	('>50', 7.945157817502606)	('>100', 17.30235128402173)	('>500', 6.97351906780785)	('>1k', 9.900094342877898)	('>5k', 0.7927850097315898)	('>10k+', 0.43534471061438557)
SRR36910397_1	(1.0, 9.876793021199562)	(2.0, 0.6975192427891799)	(3.0, 0.43896311525240417)	(4.0, 0.5028509675059138)	(5.0, 0.6979779267323382)	(6.0, 0.9387456524671297)	(7.0, 1.1693013931623508)	(8.0, 1.4056497346593047)	(9.0, 1.5133235611042857)	('>10', 41.177565982895615)	('>50', 8.963940793423491)	('>100', 18.416748470481103)	('>500', 6.704260430761447)	('>1k', 6.930772769704935)	('>5k', 0.48227335631660345)	('>10k+', 0.08331358154429651)
SRR36910397_2	(1.0, 10.700641953826233)	(2.0, 0.7743683196662761)	(3.0, 0.45250872169981154)	(4.0, 0.5494584007753641)	(5.0, 0.7290389998590749)	(6.0, 0.9498168298163128)	(7.0, 1.1318251075821784)	(8.0, 1.3302328323061878)	(9.0, 1.465343764147687)	('>10', 38.32734038776423)	('>50', 8.888579700967371)	('>100', 17.825058914259486)	('>500', 6.953315641122042)	('>1k', 8.942211573393372)	('>5k', 0.6876230402414235)	('>10k+', 0.2926358125730086)
SRR36910429_1	(1.0, 11.27044101367166)	(2.0, 8.847611843580067)	(3.0, 6.875856992386173)	(4.0, 5.188275853178352)	(5.0, 3.8798582578273684)	(6.0, 3.0289820208896345)	(7.0, 2.495148376788607)	(8.0, 2.048881484182096)	(9.0, 1.8924493927812898)	('>10', 22.032663586890767)	('>50', 7.816455568616995)	('>100', 16.56605445921194)	('>500', 4.599431584285296)	('>1k', 3.3750262903187256)	('>5k', 0.08286327539116618)	('>10k+', 0.0)
SRR36910429_2	(1.0, 12.10867777895327)	(2.0, 8.054287986811714)	(3.0, 6.228565543937675)	(4.0, 4.785702106741048)	(5.0, 3.682884869072779)	(6.0, 2.8817409589464558)	(7.0, 2.3558869273985037)	(8.0, 1.974427501159906)	(9.0, 1.6400180197444585)	('>10', 21.85756565264533)	('>50', 7.972499532121108)	('>100', 17.16547086096668)	('>500', 5.036277684861768)	('>1k', 3.9894518162148818)	('>5k', 0.19870347790967247)	('>10k+', 0.06783928251460264)
SRR36910431_1	(1.0, 12.136634997555257)	(2.0, 8.909762819805254)	(3.0, 6.457668616904109)	(4.0, 4.773255152036518)	(5.0, 3.5174678903684398)	(6.0, 2.8892093532447056)	(7.0, 2.3538486425957803)	(8.0, 1.9570284711628387)	(9.0, 1.6913797530627113)	('>10', 22.04535114110803)	('>50', 7.728212279352527)	('>100', 16.7844614736446)	('>500', 4.936191668400509)	('>1k', 3.687456748399969)	('>5k', 0.132070992358822)	('>10k+', 0.0)
SRR36910431_2	(1.0, 12.92424242716571)	(2.0, 8.152622771345516)	(3.0, 6.106173030311464)	(4.0, 4.47567429688862)	(5.0, 3.4346554587809637)	(6.0, 2.7341366661106092)	(7.0, 2.29012329873416)	(8.0, 1.9030961114591582)	(9.0, 1.629723298529434)	('>10', 21.550105818011414)	('>50', 7.952172635458926)	('>100', 16.926460315107107)	('>500', 5.285721205583626)	('>1k', 4.360974350938717)	('>5k', 0.274118315574492)	('>10k+', 0.0)
SRR36910433_1	(1.0, 11.527535280809905)	(2.0, 7.070914069286347)	(3.0, 4.761372087374916)	(4.0, 3.4689720419121945)	(5.0, 2.563222435946953)	(6.0, 2.099730462698333)	(7.0, 1.765661543518943)	(8.0, 1.412178954843559)	(9.0, 1.2862658284627186)	('>10', 18.01671886751974)	('>50', 7.13600025803673)	('>100', 17.674170481395908)	('>500', 7.788444312675632)	('>1k', 12.008265003210795)	('>5k', 1.2985008064580061)	('>10k+', 0.12204756584923014)
SRR36910433_2	(1.0, 12.732227336497088)	(2.0, 6.582518989870559)	(3.0, 4.501547566922307)	(4.0, 3.210678098225713)	(5.0, 2.4414100655828763)	(6.0, 1.938731483556243)	(7.0, 1.6875964338071994)	(8.0, 1.4314330639151434)	(9.0, 1.2607806889976771)	('>10', 17.369334470972976)	('>50', 7.0220451711436995)	('>100', 17.723302401129267)	('>500', 7.850296130158441)	('>1k', 11.883823435611639)	('>5k', 1.604276211718322)	('>10k+', 0.7599984518908973)
