Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR36910393_1	87.1132441324578	53.0	51.0	51	20.0	28.339129999999997
SRR36910393_2	86.95142290147976	54.0	51.0	51	20.0	28.339129999999997
SRR36910395_1	84.78729663664464	52.0	51.0	51	20.0	37.728213
SRR36910395_2	84.57667140275072	54.0	51.0	51	20.0	37.728213
SRR36910397_1	86.32363139701867	52.0	51.0	51	20.0	33.139553
SRR36910397_2	85.59934089172057	54.0	51.0	51	20.0	33.139553
SRR36910429_1	77.23633570929557	50.0	51.0	51	20.0	23.605183
SRR36910429_2	77.2456108023956	52.0	51.0	51	10.0	23.605183
SRR36910431_1	76.73412424880831	50.0	51.0	51	20.0	25.741080999999998
SRR36910431_2	76.6013403272242	51.0	51.0	51	10.0	25.741080999999998
SRR36910433_1	79.90557368924485	50.0	51.0	51	20.0	28.422666
SRR36910433_2	79.19204881276536	51.0	51.0	51	10.0	28.422666
