"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000115457",40226.9437325689,12.7003618650199,0.319922872043562,39.6981990812165,0,0
"ENSG00000116285",11442.7099574291,6.53009897962208,0.162223769255199,40.2536509267603,0,0
"ENSG00000159674",16243.3374165908,-10.4336532147069,0.248258710898134,-42.0273398543024,0,0
"ENSG00000050165",4910.64887377445,-5.45121737875668,0.164572673077642,-33.1234662281076,1.36543373087556e-240,7.38767920090219e-237
"ENSG00000120708",29093.374154973,-5.08022687265364,0.158976475662797,-31.9558403309257,4.48201182023667e-224,1.93999399627124e-220
"ENSG00000105088",2474.70319191478,7.3624100617262,0.255476205303331,28.8183788113836,1.26238537393767e-182,4.55342404379316e-179
"ENSG00000198467",113731.04907615,-9.16042845586813,0.31922697511194,-28.6956591079308,4.32204231252292e-181,1.33625199610887e-177
"ENSG00000122641",11490.8980935559,-6.91388525087633,0.24851851300043,-27.8204032665541,2.45763113531401e-170,6.64850662880824e-167
"ENSG00000101160",8737.31155552071,-9.49420223646499,0.342080381767609,-27.754302036867,1.54614343373066e-169,3.71795957697766e-166
"ENSG00000119630",8303.207954952,7.13326998676199,0.262401360066676,27.1845770347739,9.8844825042825e-163,2.13919970357682e-159
"ENSG00000162496",2572.44106467605,-7.22543751818028,0.266281113550454,-27.1346225867845,3.84570971167026e-162,7.56625905272433e-159
"ENSG00000013297",8580.45271988663,-6.79758045312042,0.254035184076066,-26.7584211921016,9.85382770682582e-158,1.77713782692604e-154
"ENSG00000171873",1699.96172971302,6.43444698177682,0.253205135790118,25.4119923819805,1.85864856767093e-142,3.09422094627187e-139
"ENSG00000099822",2340.48405317666,5.49954803091999,0.227036986381013,24.2231370253067,1.26933944885622e-129,1.96221745372473e-126
"ENSG00000134363",4835.40616564097,-4.96337806057785,0.205477384824481,-24.1553495768772,6.56017062577306e-129,9.46501417886537e-126
"ENSG00000166165",4289.20761155307,4.33117938650691,0.185614013294119,23.3343340281309,1.9879291704017e-120,2.68892269411459e-117
"ENSG00000134697",2076.8878264034,-4.41222563825276,0.18953111328018,-23.279690399593,7.12072224202213e-120,9.06509828010841e-117
"ENSG00000141753",12451.6111088036,-5.18156855702624,0.224608066298821,-23.0693787734792,9.40042329242822e-118,1.13024422719295e-114
"ENSG00000110697",3960.77749699726,3.57701590159027,0.155950294363397,22.9368974017776,1.99134351620631e-116,2.26824507251248e-113
"ENSG00000102109",2214.11308868373,9.50392801802048,0.432584855578889,21.9700895568853,5.56586797685617e-107,6.02282573775606e-104
"ENSG00000164035",1431.7286874013,9.45127810216044,0.438960768523241,21.5310314266958,7.97391246122966e-103,8.21768635647297e-100
"ENSG00000149781",1465.0869674025,7.02895229038756,0.327512659803307,21.4616201236585,3.55691402150205e-102,3.49903332969761e-99
"ENSG00000101144",1056.57785598287,8.70064661638446,0.406179034014395,21.4207181754145,8.5658069171408e-102,8.0600518826418e-99
"ENSG00000111252",2829.93293552056,3.65153589573221,0.17184852827573,21.2485724048409,3.398421006942e-100,3.06452614300995e-97
