"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","69/3563","124/13649",0.556451612903226,2.13163291173621,7.52368685860019,2.49273777912509e-12,1.42659383099329e-08,1.24059623365299e-08,"NEXN/ITGB1/PCDHB2/PCDHGA6/L1CAM/AMIGO2/PCDHGB5/PALLD/DSG2/CADM4/PCDH10/CDH13/PTPRM/CDH2/PCDHB5/SDK1/PCDHA10/PCDHGA12/NECTIN2/PCDHGA11/HMCN2/PCDHGB4/CDH23/PCDHB16/PCDHA6/ESAM/PCDHGA7/SDK2/PCDHA11/CDH24/DSC2/CELSR1/KIRREL3/CEACAM1/MYPN/EMB/CDHR3/NECTIN3/PCDHGA10/ROBO3/PCDHB14/PCDHGB7/PCDHB11/DSC3/PCDHGB1/PCDHB6/PCDHGC5/CDH6/CNTN4/RET/FAT3/CDH7/CLSTN2/CADM1/TENM3/CDH10/HMCN1/PECAM1/PCDHB8/PCDHB1/PCDH17/PCDH11X/PCDHA3/PCDHGB6/CD84/ROBO2/CADM2/PCDH9/PCDH1",69
"GO:0045229","external encapsulating structure organization","123/3563","275/13649",0.447272727272727,1.71339473885643,7.10310976372543,1.28747982293926e-11,3.68412351334069e-08,3.20379189624043e-08,"TGFBI/GAS6/CCDC80/COL1A2/MFAP4/MMP10/DDR1/PLOD2/COL11A1/ITGB1/ADAMTS1/MAD2L2/ADAMTS2/COL5A3/NTN4/LAMB2/EMILIN1/CCN1/FKBP10/LUM/COL4A1/FOXF1/SLC2A10/ZNF469/BMP1/TGFBR1/SPINT1/MATN2/FBLN5/VWA1/EFEMP2/LOXL4/CARMIL2/APP/COL4A2/EGFLAM/COL4A5/SULF1/ADAMTS12/TNXB/ELN/COL1A1/RECK/P4HA3/LAMB1/LAMA1/COL6A1/LRP1/SOX9/FOXC2/FOXC1/COL3A1/MMP14/RUNX1/CTSK/COL5A2/SULF2/ADAMTS16/RGCC/TGFB2/COL16A1/NID1/HAS2/CRISPLD2/COL18A1/MMP2/COL12A1/ITGA2/MMP15/ADAMTSL1/KAZALD1/LOXL3/NPNT/NFKB2/LARGE1/TLL1/FMOD/TPSAB1/COL22A1/ADAMTS5/LAMA2/SH3PXD2B/COL4A6/COL27A1/SCX/FGFR4/MMP1/ADAMTS15/POMT2/FAP/AEBP1/OLFML2A/COL9A3/COL10A1/MYO1E/MMP28/HMCN1/COL8A2/IL6/CTSV/DPP4/CHADL/POSTN/ADAMTSL5/SERPINB5/ADAMTSL4/ADAMTS10/GREM1/GPM6B/COL11A2/COL9A2/ADAMTSL3/TNFRSF11B/OLFML2B/VIT/MMP12/TGFBR3/HAS1/NDNF/TGM1/MMP23B/WT1/COL24A1",123
"GO:0030198","extracellular matrix organization","122/3563","274/13649",0.445255474452555,1.70566712624275,7.01311900360377,2.25173891462147e-11,4.29556726945955e-08,3.73551634678256e-08,"TGFBI/GAS6/CCDC80/COL1A2/MFAP4/MMP10/DDR1/PLOD2/COL11A1/ITGB1/ADAMTS1/MAD2L2/ADAMTS2/COL5A3/NTN4/LAMB2/EMILIN1/CCN1/FKBP10/LUM/COL4A1/FOXF1/SLC2A10/ZNF469/BMP1/TGFBR1/SPINT1/MATN2/FBLN5/VWA1/EFEMP2/LOXL4/CARMIL2/APP/COL4A2/EGFLAM/COL4A5/SULF1/ADAMTS12/TNXB/ELN/COL1A1/RECK/P4HA3/LAMB1/LAMA1/COL6A1/LRP1/SOX9/FOXC2/FOXC1/COL3A1/MMP14/RUNX1/CTSK/COL5A2/SULF2/ADAMTS16/RGCC/TGFB2/COL16A1/NID1/HAS2/CRISPLD2/COL18A1/MMP2/COL12A1/ITGA2/MMP15/ADAMTSL1/KAZALD1/LOXL3/NPNT/NFKB2/LARGE1/TLL1/FMOD/TPSAB1/COL22A1/ADAMTS5/LAMA2/SH3PXD2B/COL4A6/COL27A1/SCX/FGFR4/MMP1/ADAMTS15/POMT2/FAP/AEBP1/OLFML2A/COL9A3/COL10A1/MYO1E/MMP28/HMCN1/COL8A2/IL6/CTSV/DPP4/CHADL/POSTN/ADAMTSL5/SERPINB5/ADAMTSL4/ADAMTS10/GREM1/GPM6B/COL11A2/COL9A2/ADAMTSL3/TNFRSF11B/OLFML2B/VIT/MMP12/TGFBR3/HAS1/NDNF/MMP23B/WT1/COL24A1",122
"GO:0043062","extracellular structure organization","122/3563","275/13649",0.443636363636364,1.69946470032914,6.96441152657434,3.02062524916546e-11,4.32175957524349e-08,3.75829373106693e-08,"TGFBI/GAS6/CCDC80/COL1A2/MFAP4/MMP10/DDR1/PLOD2/COL11A1/ITGB1/ADAMTS1/MAD2L2/ADAMTS2/COL5A3/NTN4/LAMB2/EMILIN1/CCN1/FKBP10/LUM/COL4A1/FOXF1/SLC2A10/ZNF469/BMP1/TGFBR1/SPINT1/MATN2/FBLN5/VWA1/EFEMP2/LOXL4/CARMIL2/APP/COL4A2/EGFLAM/COL4A5/SULF1/ADAMTS12/TNXB/ELN/COL1A1/RECK/P4HA3/LAMB1/LAMA1/COL6A1/LRP1/SOX9/FOXC2/FOXC1/COL3A1/MMP14/RUNX1/CTSK/COL5A2/SULF2/ADAMTS16/RGCC/TGFB2/COL16A1/NID1/HAS2/CRISPLD2/COL18A1/MMP2/COL12A1/ITGA2/MMP15/ADAMTSL1/KAZALD1/LOXL3/NPNT/NFKB2/LARGE1/TLL1/FMOD/TPSAB1/COL22A1/ADAMTS5/LAMA2/SH3PXD2B/COL4A6/COL27A1/SCX/FGFR4/MMP1/ADAMTS15/POMT2/FAP/AEBP1/OLFML2A/COL9A3/COL10A1/MYO1E/MMP28/HMCN1/COL8A2/IL6/CTSV/DPP4/CHADL/POSTN/ADAMTSL5/SERPINB5/ADAMTSL4/ADAMTS10/GREM1/GPM6B/COL11A2/COL9A2/ADAMTSL3/TNFRSF11B/OLFML2B/VIT/MMP12/TGFBR3/HAS1/NDNF/MMP23B/WT1/COL24A1",122
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","97/3563","207/13649",0.468599033816425,1.79509071360101,6.85098228346348,8.14430493273602e-11,9.32197142600965e-08,8.10658394146861e-08,"CLDN11/NEXN/ITGB1/PCDHB2/PCDHGA6/L1CAM/AMIGO2/ICAM1/PCDHGB5/LRRC4B/PALLD/DSG2/CADM4/CLDN4/PCDH10/CDH13/PTPRM/CDH2/ELFN1/PCDHB5/SDK1/CX3CL1/PCDHA10/PCDHGA12/MAPK7/LRFN5/NECTIN2/PCDHGA11/CLDN5/HMCN2/DAB1/PCDHGB4/MYADM/CDH23/PCDHB16/PTPRD/PCDHA6/MPZ/ESAM/PCDHGA7/SDK2/PCDHA11/MAP2K5/ATP2C1/FLRT3/CDH24/DSC2/CELSR1/KIRREL3/MBP/CEACAM1/TGFB2/MYPN/EFNA5/EMB/LRFN3/MDGA1/PSG5/CDHR3/NECTIN3/PCDHGA10/ROBO3/PCDHB14/NLGN1/PCDHGB7/PCDHB11/CLDN1/DSC3/PCDHGB1/PCDHB6/PCDHGC5/CDH6/CNTN4/RET/FAT3/CDH7/CLSTN2/CADM1/TENM3/CEACAM19/CDH10/HMCN1/PECAM1/PCDHB8/PCDHB1/PCDH17/UNC5D/PCDH11X/PCDHA3/TENM4/PCDHGB6/APOA1/CD84/ROBO2/CADM2/PCDH9/PCDH1",97
"GO:0007423","sensory organ development","179/3563","463/13649",0.386609071274298,1.48100679590875,6.25846904242579,1.19469882632326e-09,1.13954356384134e-06,9.9097123699235e-07,"INHBA/BMP7/AQP1/DLX2/PDE6B/DDR1/TCIRG1/COL11A1/FZD6/LAMB2/PITX2/JAG1/CEBPD/FGF2/FLT1/CRYAB/CYTL1/ATP8B1/FBN1/COL4A1/BAK1/CTHRC1/KCNK2/EDNRA/TBX3/DIAPH3/PLAAT3/THY1/VAX1/PTPRM/C1QTNF5/MAFB/SPRED2/TGFBR1/SIX1/TBX2/SPRY2/SDK1/DLX1/MAPK1/BCAR3/KCNK3/SHROOM2/GDF11/PRRX1/FZR1/SPRY1/LRIG1/HOXC13/TWSG1/CRYBG3/NIPBL/BMP5/LRP10/GJA1/CDH23/EFEMP1/PRDM1/ANP32B/LAMA1/SOX9/FOXC2/FOXC1/MEIS1/SOX2/SDK2/NF2/COL5A2/DRD2/SOX4/GABRA5/HOXA1/MAB21L2/OSR1/CASP2/TMOD1/HAND2/TGFB2/RAB3GAP1/REST/IFT20/GSDME/PTPN11/BMP4/ALDH1A3/FOS/BARHL2/TRIP11/ATP2B4/EDN1/ZEB1/SPRED3/TMEM231/SDC4/RRM1/FZD3/NECTIN3/ZIC1/RBPJ/MERTK/PBX3/DLX5/AQP5/CDON/C12orf57/KIT/PPP1R13L/SLC4A7/BBS10/GSC/LARGE1/HES1/CEP290/SH3PXD2B/MED1/CLN8/MEIS2/BCL2L11/OTX1/WNT5A/WNT2/TDRD7/BMPER/PAX8/CEBPA/CECR2/SMARCA4/CYP1A1/TFAP2A/RET/EYA1/WHRN/SOBP/SAMD11/SOX8/CRYBB2/HOXA13/FAT3/BCL11B/MCOLN3/INTU/TBX1/CHRNA9/TENM3/HOXA2/PPP2R3A/NTN1/OTOGL/NES/TSPAN12/COL8A2/MYO6/MYO7B/SKIL/CACNA1C/LHX2/VAX2/MYO15A/HPCA/LHFPL5/BHLHA15/MFAP5/PAX6/PLAAT1/MYOM2/SIX2/NKX3-2/LRIG3/MAB21L1/TH/WNT9A/RBP4/VSTM4/NRL/WNT6/WT1/AHI1/DLX6/IFT88",179
"GO:0006935","chemotaxis","140/3563","346/13649",0.404624277456647,1.55001873786298,6.15919104490753,2.63379332499166e-09,1.88414989986591e-06,1.63849668954745e-06,"PGF/CXCL12/GPNMB/GAS6/NBL1/THBS1/CXCL1/TMSB4X/LGALS3/TUBB2B/NRP2/L1CAM/PTPRO/CCN1/ZNF580/FGF2/ANXA1/FLT1/GDNF/CXCL6/FGF7/EFNB2/NTF3/RIPOR2/IL1B/RAC3/SEMA3A/CDH13/LPAR1/TRPM4/HMGB1/HSPB1/PDE4B/SWAP70/RALBP1/MAPK1/BST1/S100A4/CX3CL1/PLAU/IL6R/STX4/MYCBP2/APP/ARRB2/SEMA3F/OXSR1/MCU/RALA/SEMA4F/MTUS1/CCL2/F3/CXCR4/F2RL1/MSMP/CMTM8/PTN/SYK/PRKCD/SUCNR1/VEGFC/DPEP1/FLRT3/COLEC10/CXCL16/DOCK2/TGFB2/SEMA6C/SEMA6A/EFNA5/BMP4/SEMA6B/MMP2/RIN3/EDN1/ITGA2/ROBO3/KIT/PLEC/NCKAP1L/ITGA9/TRPM2/PIK3CG/EGR3/WNT5A/KIF21A/ITGA1/SCG2/DOCK4/CSF1R/PREX1/PF4V1/CCL7/SLIT3/GPR183/ENPP2/ANOS1/MOSPD2/S1PR1/ECSCR/HOXB9/CXCL3/SEMA6D/PDGFB/PLA2G6/MMP28/NTN1/CD74/SEMA4D/CXCL14/ACKR3/ANGPT1/IL6/PLXNA4/DPP4/ITGAV/DAPK2/SAA1/SLIT2/NTRK3/GREM1/AMOT/ARHGEF16/SEMA5A/CCR10/GAB1/APOA1/UNC5C/ROBO2/NOVA2/LSP1/EDN2/FPR1/CYSLTR1/SERPIND1/AGTR1/FES/PADI2/CXCL2",140
"GO:0042330","taxis","140/3563","346/13649",0.404624277456647,1.55001873786298,6.15919104490753,2.63379332499166e-09,1.88414989986591e-06,1.63849668954745e-06,"PGF/CXCL12/GPNMB/GAS6/NBL1/THBS1/CXCL1/TMSB4X/LGALS3/TUBB2B/NRP2/L1CAM/PTPRO/CCN1/ZNF580/FGF2/ANXA1/FLT1/GDNF/CXCL6/FGF7/EFNB2/NTF3/RIPOR2/IL1B/RAC3/SEMA3A/CDH13/LPAR1/TRPM4/HMGB1/HSPB1/PDE4B/SWAP70/RALBP1/MAPK1/BST1/S100A4/CX3CL1/PLAU/IL6R/STX4/MYCBP2/APP/ARRB2/SEMA3F/OXSR1/MCU/RALA/SEMA4F/MTUS1/CCL2/F3/CXCR4/F2RL1/MSMP/CMTM8/PTN/SYK/PRKCD/SUCNR1/VEGFC/DPEP1/FLRT3/COLEC10/CXCL16/DOCK2/TGFB2/SEMA6C/SEMA6A/EFNA5/BMP4/SEMA6B/MMP2/RIN3/EDN1/ITGA2/ROBO3/KIT/PLEC/NCKAP1L/ITGA9/TRPM2/PIK3CG/EGR3/WNT5A/KIF21A/ITGA1/SCG2/DOCK4/CSF1R/PREX1/PF4V1/CCL7/SLIT3/GPR183/ENPP2/ANOS1/MOSPD2/S1PR1/ECSCR/HOXB9/CXCL3/SEMA6D/PDGFB/PLA2G6/MMP28/NTN1/CD74/SEMA4D/CXCL14/ACKR3/ANGPT1/IL6/PLXNA4/DPP4/ITGAV/DAPK2/SAA1/SLIT2/NTRK3/GREM1/AMOT/ARHGEF16/SEMA5A/CCR10/GAB1/APOA1/UNC5C/ROBO2/NOVA2/LSP1/EDN2/FPR1/CYSLTR1/SERPIND1/AGTR1/FES/PADI2/CXCL2",140
"GO:0007411","axon guidance","90/3563","199/13649",0.452261306532663,1.73250479171045,6.18669636879804,3.64262052726646e-09,2.31630191972732e-06,2.01430524595506e-06,"BMP7/CXCL12/FEZ1/NELL2/DPYSL5/NEXN/TUBB2B/NRP2/NTN4/DRAXIN/LAMB2/L1CAM/PTPRO/GDNF/EFNB2/PALLD/RPS6KA5/BDNF/RAC3/SEMA3A/EDNRA/VAX1/PTPRM/ETV1/MATN2/CHN1/MYCBP2/APP/TUBB3/NGFR/GAP43/SEMA3F/OTX2/HMCN2/DCC/EFNB3/EFNA3/SEMA4F/EPHA3/FLRT3/MYPN/SEMA6C/KIF5B/SEMA6A/EFNA5/EMB/UNC5A/EPHB6/SEMA6B/KALRN/EDN1/FZD3/EFNA2/NTRK1/DLX5/ROBO3/CRPPA/LAMA2/WNT5A/CNTN5/KIF21A/CSF1R/SLIT3/CNTN4/RET/NRXN3/EFNA1/ARK2C/ANOS1/OPHN1/BCL11B/NOTCH3/HOXA2/SEMA6D/NTN1/SEMA4D/UNC5D/NRCAM/PLXNA4/ISL2/LHX2/SLIT2/SEMA5A/PAX6/UNC5C/ROBO2/NOVA2/RELN/CDK5R2/EPHA6",90
"GO:0097485","neuron projection guidance","90/3563","200/13649",0.45,1.72384226775189,6.12910239288529,4.94430002323750e-09,2.82962290329882e-06,2.4607000536702e-06,"BMP7/CXCL12/FEZ1/NELL2/DPYSL5/NEXN/TUBB2B/NRP2/NTN4/DRAXIN/LAMB2/L1CAM/PTPRO/GDNF/EFNB2/PALLD/RPS6KA5/BDNF/RAC3/SEMA3A/EDNRA/VAX1/PTPRM/ETV1/MATN2/CHN1/MYCBP2/APP/TUBB3/NGFR/GAP43/SEMA3F/OTX2/HMCN2/DCC/EFNB3/EFNA3/SEMA4F/EPHA3/FLRT3/MYPN/SEMA6C/KIF5B/SEMA6A/EFNA5/EMB/UNC5A/EPHB6/SEMA6B/KALRN/EDN1/FZD3/EFNA2/NTRK1/DLX5/ROBO3/CRPPA/LAMA2/WNT5A/CNTN5/KIF21A/CSF1R/SLIT3/CNTN4/RET/NRXN3/EFNA1/ARK2C/ANOS1/OPHN1/BCL11B/NOTCH3/HOXA2/SEMA6D/NTN1/SEMA4D/UNC5D/NRCAM/PLXNA4/ISL2/LHX2/SLIT2/SEMA5A/PAX6/UNC5C/ROBO2/NOVA2/RELN/CDK5R2/EPHA6",90
